WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,MinimumTemperature,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48427,U THONG AGROMET.,\u0e2d\u0e39\u0e48\u0e17\u0e2d\u0e07 \u0e2a\u0e01\u0e29.,\u0e2a\u0e38\u0e1e\u0e23\u0e23\u0e13\u0e1a\u0e38\u0e23\u0e35,14.30361,99.86472,26.2,07-08-2019,07:00:00,24.6,0.0,1008.48,24.8,0.00,1009.25,0.00,8.00,30.94,000,91
48429,SUVARNABHUMI AIRPORT,\u0e2a\u0e19\u0e32\u0e21\u0e1a\u0e34\u0e19\u0e2a\u0e38\u0e27\u0e23\u0e23\u0e13\u0e20\u0e39\u0e21\u0e34,\u0e2a\u0e21\u0e38\u0e17\u0e23\u0e1b\u0e23\u0e32\u0e01\u0e32\u0e23,13.68639,100.76750,28.2,07-08-2019,07:00:00,24.5,5.6,1008.35,27.0,0.00,1009.05,0.00,10.00,30.67,240,80
48430,PRACHIN BURI,\u0e1b\u0e23\u0e32\u0e08\u0e35\u0e19\u0e1a\u0e38\u0e23\u0e35,\u0e1b\u0e23\u0e32\u0e08\u0e35\u0e19\u0e1a\u0e38\u0e23\u0e35,14.05842,101.36930,27.4,07-08-2019,07:00:00,25.8,0.0,1008.21,26.7,0.00,1008.92,0.00,7.00,33.29,000,91
48431,NAKHON RATCHASIMA,\u0e19\u0e04\u0e23\u0e23\u0e32\u0e0a\u0e2a\u0e35\u0e21\u0e32,\u0e19\u0e04\u0e23\u0e23\u0e32\u0e0a\u0e2a\u0e35\u0e21\u0e32,14.96830,102.08603,27.5,07-08-2019,07:00:00,23.1,3.7,987.50,25.6,0.00,1008.65,0.00,10.00,28.26,260,77
48432,SURIN,\u0e2a\u0e38\u0e23\u0e34\u0e19\u0e17\u0e23\u0e4c,\u0e2a\u0e38\u0e23\u0e34\u0e19\u0e17\u0e23\u0e4c,14.88333,103.50000,26.2,07-08-2019,07:00:00,23.0,5.6,991.96,25.0,0.00,1008.75,0.00,8.00,28.01,210,82
48433,SURIN AGROMET.,\u0e2a\u0e38\u0e23\u0e34\u0e19\u0e17\u0e23\u0e4c \u0e2a\u0e01\u0e29.,\u0e2a\u0e38\u0e23\u0e34\u0e19\u0e17\u0e23\u0e4c,14.88333,103.45000,25.7,07-08-2019,07:00:00,23.5,5.6,992.54,24.5,0.00,1009.08,0.00,9.00,28.95,180,88
48434,CHOK CHAI,\u0e42\u0e0a\u0e04\u0e0a\u0e31\u0e22,\u0e19\u0e04\u0e23\u0e23\u0e32\u0e0a\u0e2a\u0e35\u0e21\u0e32,14.71889,102.16861,25.5,07-08-2019,07:00:00,24.2,0.0,986.41,25.3,0.00,1008.40,0.00,10.00,30.17,000,93
48435,PAKCHONG AGROMET.,\u0e1b\u0e32\u0e01\u0e0a\u0e48\u0e2d\u0e07 \u0e2a\u0e01\u0e29.,\u0e19\u0e04\u0e23\u0e23\u0e32\u0e0a\u0e2a\u0e35\u0e21\u0e32,14.64389,101.33194,27.0,07-08-2019,07:00:00,21.0,7.4,965.50,25.5,0.00,1008.81,0.00,12.00,24.79,160,70
48436,NANG RONG,\u0e19\u0e32\u0e07\u0e23\u0e2d\u0e07,\u0e1a\u0e38\u0e23\u0e35\u0e23\u0e31\u0e21\u0e22\u0e4c,14.58333,102.80000,26.0,07-08-2019,07:00:00,23.4,0.0,988.10,24.5,0.00,1008.76,0.00,10.00,28.70,000,85
48437,BURIRUM,\u0e1a\u0e38\u0e23\u0e35\u0e23\u0e31\u0e21\u0e22\u0e4c,\u0e1a\u0e38\u0e23\u0e35\u0e23\u0e31\u0e21\u0e22\u0e4c,15.22575,103.24808,26.5,07-08-2019,07:00:00,23.3,9.3,989.13,25.4,0.00,1010.04,0.00,7.00,28.55,220,83
48438,SAMUTSONGKRAM,\u0e2a\u0e21\u0e38\u0e17\u0e23\u0e2a\u0e07\u0e04\u0e23\u0e32\u0e21,\u0e2a\u0e21\u0e38\u0e17\u0e23\u0e2a\u0e07\u0e04\u0e23\u0e32\u0e21,13.40778,100.03222,28.3,07-08-2019,07:00:00,24.6,7.4,1008.55,27.6,0.00,1008.99,0.00,10.00,30.87,210,80
48439,KABIN BURI,\u0e01\u0e1a\u0e34\u0e19\u0e17\u0e23\u0e4c\u0e1a\u0e38\u0e23\u0e35,\u0e1b\u0e23\u0e32\u0e08\u0e35\u0e19\u0e1a\u0e38\u0e23\u0e35,13.98333,101.70722,26.4,07-08-2019,07:00:00,25.5,0.0,1006.98,26.3,0.00,1008.41,0.00,8.00,32.71,000,95
48440,SA KAEW,\u0e2a\u0e23\u0e30\u0e41\u0e01\u0e49\u0e27,\u0e2a\u0e23\u0e30\u0e41\u0e01\u0e49\u0e27,13.78889,102.03472,26.1,07-08-2019,07:00:00,25.8,0.0,1004.40,25.6,0.00,1009.35,0.00,7.00,33.23,000,98
48450,KANCHANA BURI,\u0e01\u0e32\u0e0d\u0e08\u0e19\u0e1a\u0e38\u0e23\u0e35,\u0e01\u0e32\u0e0d\u0e08\u0e19\u0e1a\u0e38\u0e23\u0e35,14.02250,99.53583,26.7,07-08-2019,07:00:00,23.8,0.0,1005.77,25.2,0.00,1009.07,0.01,12.00,29.45,000,84
48451,NAKHONPATHOM,\u0e19\u0e04\u0e23\u0e1b\u0e10\u0e21,\u0e19\u0e04\u0e23\u0e1b\u0e10\u0e21,14.01167,99.97000,26.0,07-08-2019,07:00:00,25.3,0.0,1008.23,25.2,0.00,1009.34,0.60,10.00,32.20,000,96
48453,BANG NA AGROMET.,\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e2f \u0e1a\u0e32\u0e07\u0e19\u0e32 \u0e2a\u0e01\u0e29.,\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e21\u0e2b\u0e32\u0e19\u0e04\u0e23,13.66639,100.60611,28.5,07-08-2019,07:00:00,24.5,3.7,1008.66,28.2,0.00,1008.96,0.00,10.00,30.70,220,79
48454,BANGKOK PORT (KLONG TOEI),\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e2f \u0e17\u0e48\u0e32\u0e40\u0e23\u0e37\u0e2d\u0e04\u0e25\u0e2d\u0e07\u0e40\u0e15\u0e22,\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e21\u0e2b\u0e32\u0e19\u0e04\u0e23,13.70694,100.56805,28.5,07-08-2019,07:00:00,24.9,0.0,1007.85,28.0,0.00,1008.53,0.01,10.00,31.54,000,81
48455,BANGKOK METROPOLIS,\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e21\u0e2b\u0e32\u0e19\u0e04\u0e23,\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e21\u0e2b\u0e32\u0e19\u0e04\u0e23,13.72639,100.56000,28.0,07-08-2019,07:00:00,24.1,0.0,1008.51,27.9,0.00,1008.99,0.10,10.00,30.01,000,79
48456,DON MUANG AIRPORT,\u0e2a\u0e19\u0e32\u0e21\u0e1a\u0e34\u0e19\u0e14\u0e2d\u0e19\u0e40\u0e21\u0e37\u0e2d\u0e07,\u0e01\u0e23\u0e38\u0e07\u0e40\u0e17\u0e1e\u0e21\u0e2b\u0e32\u0e19\u0e04\u0e23,13.91917,100.60500,29.0,07-08-2019,07:00:00,24.1,13.0,1007.73,28.1,0.00,1009.13,0.01,10.00,30.01,240,75
48457,PILOT STATION,\u0e19\u0e33\u0e23\u0e48\u0e2d\u0e07,\u0e2a\u0e21\u0e38\u0e17\u0e23\u0e1b\u0e23\u0e32\u0e01\u0e32\u0e23,13.39389,100.59944,29.2,07-08-2019,07:00:00,26.1,18.5,1007.28,28.7,0.00,1008.95,0.00,10.00,33.83,230,83
48458,CHACHOENGSAO,\u0e09\u0e30\u0e40\u0e0a\u0e34\u0e07\u0e40\u0e17\u0e23\u0e32,\u0e09\u0e30\u0e40\u0e0a\u0e34\u0e07\u0e40\u0e17\u0e23\u0e32,13.51556,101.45833,26.1,07-08-2019,07:00:00,25.2,0.0,1003.03,25.5,0.00,1011.09,0.00,10.00,32.12,000,95
48459,CHON BURI,\u0e0a\u0e25\u0e1a\u0e38\u0e23\u0e35,\u0e0a\u0e25\u0e1a\u0e38\u0e23\u0e35,13.36667,100.98333,28.5,07-08-2019,07:00:00,26.0,0.0,1008.60,27.5,0.00,1008.88,0.00,10.00,33.53,000,86
48460,KO SICHANG,\u0e40\u0e01\u0e32\u0e30\u0e2a\u0e35\u0e0a\u0e31\u0e07,\u0e0a\u0e25\u0e1a\u0e38\u0e23\u0e35,13.16167,100.80194,28.6,07-08-2019,07:00:00,25.8,5.6,1005.59,28.0,0.00,1008.71,0.00,10.00,33.16,300,85
48461,PHATTHAYA,\u0e1e\u0e31\u0e17\u0e22\u0e32,\u0e0a\u0e25\u0e1a\u0e38\u0e23\u0e35,12.92000,100.86944,28.8,07-08-2019,07:00:00,25.1,0.0,1002.31,27.0,0.00,1009.22,0.00,10.00,31.86,000,80
