WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.39,09-20-2019,16:00:00,18.10,1005.23,0.0,27.0,32.49,000,18.90,91,25.4,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,953.62,09-20-2019,16:00:00,0.00,1004.27,0.0,28.3,27.61,000,5.30,72,22.7,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.46,09-20-2019,16:00:00,0.00,1005.36,3.7,30.7,30.29,180,41.90,69,24.3,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.89,09-20-2019,16:00:00,0.00,1005.92,7.4,24.7,25.43,340,5.80,82,21.4,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.09,09-20-2019,16:00:00,0.00,1005.86,20.4,30.7,34.06,180,3.30,77,26.2,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.79,09-20-2019,16:00:00,0.00,1005.77,1.9,31.1,32.55,290,68.80,72,25.5,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.45,09-20-2019,16:00:00,0.00,1005.96,0.0,31.5,30.49,000,7.00,66,24.4,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.40,09-20-2019,16:00:00,0.01,1006.32,0.0,29.0,31.13,000,20.00,78,24.7,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.06,09-20-2019,16:00:00,0.00,1005.62,13.0,31.1,28.29,070,133.60,63,23.1,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.77,09-20-2019,16:00:00,1.30,1006.45,0.0,26.5,31.79,000,42.80,92,25.1,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.94,09-20-2019,16:00:00,5.00,1006.10,7.4,26.6,32.82,110,42.30,94,25.6,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.24,09-20-2019,16:00:00,0.00,1006.10,5.6,30.5,29.61,110,36.20,68,23.9,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.20,09-20-2019,16:00:00,0.00,1006.88,0.0,29.8,31.89,000,46.20,76,25.1,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,991.92,09-20-2019,16:00:00,0.01,1006.54,7.4,27.8,33.53,320,15.10,90,26.0,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.81,09-20-2019,16:00:00,0.10,1005.79,0.0,30.0,33.75,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",8.90,80,26.1,9.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.13,09-20-2019,16:00:00,0.50,1004.94,0.0,31.8,30.24,000,8.30,64,24.2,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1003.94,09-20-2019,16:00:00,0.00,1005.03,7.4,30.2,32.13,360,3.20,75,25.2,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.15,09-20-2019,16:00:00,0.00,1006.76,0.0,28.5,27.44,000,11.80,71,22.6,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.39,09-20-2019,16:00:00,0.00,1006.42,0.0,21.6,24.36,000,18.20,94,20.7,6.00
