WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,MeanSeaLevelPressure,VaporPressure
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,16.7,09-14-2019,16:00:00,23.8,59,982.64,2.50,32.8,0.00,10.00,050,1004.02,29.42
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,09-14-2019,16:00:00,23.9,74,961.66,0.01,29.0,0.01,14.00,250,1004.51,29.74
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,09-14-2019,16:00:00,23.9,60,983.76,16.20,32.8,0.00,11.00,350,1003.87,29.70
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,14.8,09-14-2019,16:00:00,26.2,77,985.64,3.20,30.7,3.20,10.00,030,1006.19,34.06
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,18.5,09-14-2019,16:00:00,25.4,72,1004.60,0.01,31.0,0.00,10.00,200,1005.03,32.34
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-14-2019,16:00:00,26.3,82,1003.28,2.70,29.8,0.00,10.00,000,1004.68,34.21
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-14-2019,16:00:00,27.2,87,1000.17,15.40,29.7,0.00,7.00,000,1005.05,36.08
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,09-14-2019,16:00:00,23.8,65,1001.29,0.00,31.1,0.00,12.00,210,1004.53,29.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-14-2019,16:00:00,24.6,57,1003.37,0.30,34.5,0.00,10.00,000,1004.45,30.93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,5.6,09-14-2019,16:00:00,25.4,68,1004.49,2.00,32.0,0.00,10.00,220,1004.79,32.40
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,09-14-2019,16:00:00,24.8,65,1003.85,2.00,32.2,0.00,10.00,250,1004.52,31.35
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,09-14-2019,16:00:00,26.1,72,1004.42,2.40,31.7,0.00,10.00,120,1004.90,33.83
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,09-14-2019,16:00:00,25.0,70,1003.47,0.60,31.1,0.01,9.00,310,1004.85,31.68
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,18.5,09-14-2019,16:00:00,26.0,81,1003.12,7.00,29.5,0.00,10.00,210,1004.79,33.58
