WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-12-2019,19:00:00,78,220,1009.38,5.6,25.0,2.40,29.1,32.1,2.10,10.00,31.61,1008.95
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-12-2019,19:00:00,74,000,1008.76,0.0,24.2,40.10,29.4,33.4,0.00,8.00,30.24,1007.35
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-12-2019,19:00:00,85,000,1008.98,0.0,25.9,2.50,28.7,32.8,0.00,8.00,33.37,1004.07
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-12-2019,19:00:00,58,210,1009.52,9.3,21.4,0.00,30.5,35.1,0.00,12.00,25.53,1006.26
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-12-2019,19:00:00,66,260,1009.18,3.7,23.0,0.40,30.0,33.8,0.00,10.00,28.09,1008.08
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-12-2019,19:00:00,68,220,1009.62,7.4,24.4,7.60,31.1,35.0,0.00,10.00,30.53,1009.32
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-12-2019,19:00:00,68,300,1009.30,11.1,25.4,32.90,32.0,34.8,0.00,10.00,32.40,1008.62
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-12-2019,19:00:00,70,000,1009.39,0.0,24.2,1.80,30.2,34.2,0.00,10.00,30.14,1008.90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-12-2019,19:00:00,55,300,1009.34,11.1,21.7,1.20,31.9,33.9,0.00,10.00,25.99,1007.95
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-12-2019,19:00:00,80,230,1009.54,18.5,25.2,0.00,29.0,30.8,0.00,10.00,31.98,1007.87
