WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindSpeed,VaporPressure,WindDirection,LandVisibility,Rainfall24Hr
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.18,07-12-2019,22:00:00,28.1,0.00,1004.26,79,24.2,0.0,30.20,000,7.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.88,07-12-2019,22:00:00,31.1,0.00,1006.62,64,23.4,9.3,28.84,250,12.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.05,07-12-2019,22:00:00,29.0,0.00,1008.95,76,24.3,0.0,30.29,000,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.95,07-12-2019,22:00:00,30.3,0.00,1009.65,72,24.6,9.3,30.91,210,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.65,07-12-2019,22:00:00,30.3,0.00,1009.16,68,23.8,0.0,29.50,000,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.81,07-12-2019,22:00:00,30.0,0.00,1008.41,71,24.1,18.5,30.03,210,10.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.21,07-12-2019,22:00:00,27.9,0.00,1003.19,74,22.8,7.4,27.67,180,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.69,07-12-2019,22:00:00,29.5,0.00,1009.40,78,25.2,0.0,32.13,000,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.91,07-12-2019,22:00:00,29.3,0.00,1006.79,72,23.8,0.0,29.49,000,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.12,07-12-2019,22:00:00,28.8,0.00,1003.20,79,24.8,0.0,31.29,000,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.60,07-12-2019,22:00:00,29.0,0.00,1004.03,71,23.2,3.7,28.37,240,7.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1011.12,07-12-2019,22:00:00,27.2,1.40,1009.86,91,25.6,7.4,32.89,040,2.00,1.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.08,07-12-2019,22:00:00,30.4,0.00,1009.65,79,26.3,14.8,34.31,210,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1010.76,07-12-2019,22:00:00,27.3,0.00,998.47,80,23.5,0.0,28.96,000,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.29,07-12-2019,22:00:00,29.5,0.00,1009.58,70,23.6,5.6,29.05,260,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1010.39,07-12-2019,22:00:00,28.5,0.00,1007.96,78,24.2,11.1,30.15,190,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.26,07-12-2019,22:00:00,29.5,0.00,1009.74,75,24.5,18.5,30.72,210,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1010.06,07-12-2019,22:00:00,29.1,0.00,1004.93,74,23.9,1.9,29.65,170,11.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.81,07-12-2019,22:00:00,28.4,0.00,1010.40,84,25.4,0.0,32.47,000,7.00,1.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1011.12,07-12-2019,22:00:00,26.8,0.00,1008.33,91,25.2,0.0,32.10,000,8.00,0.50
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.96,07-12-2019,22:00:00,29.0,0.00,1009.17,89,27.0,0.0,35.76,000,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.64,07-12-2019,22:00:00,28.3,0.00,1011.18,86,25.8,3.7,33.12,090,7.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.19,07-12-2019,22:00:00,28.8,0.00,1010.51,72,23.3,0.0,28.54,000,8.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.69,07-12-2019,22:00:00,27.8,0.00,1008.17,82,24.5,0.0,30.72,000,8.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.70,07-12-2019,22:00:00,27.1,0.00,1010.78,85,24.4,3.7,30.48,050,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.72,07-12-2019,22:00:00,24.9,0.00,1011.03,96,24.2,0.0,30.13,000,10.00,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.02,07-12-2019,22:00:00,23.7,0.00,1011.21,96,23.0,0.0,28.01,000,9.00,6.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.62,07-12-2019,22:00:00,24.5,0.00,1010.98,93,23.3,0.0,28.63,000,10.00,0.30
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.46,07-12-2019,22:00:00,24.0,0.00,1011.05,96,23.3,0.0,28.53,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,44.90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.91,07-12-2019,22:00:00,23.7,0.00,1009.62,98,23.4,0.0,28.77,000,4.00,37.50
