WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,Rainfall24Hr,VaporPressure,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,LandVisibility,WindDirection,RelativeHumidity
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.0,08-26-2019,01:00:00,0.80,27.60,29.85,24.6,1006.73,992.59,5.6,10.00,200,97
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.8,08-26-2019,01:00:00,7.50,20.70,29.49,24.4,1007.25,992.29,3.7,9.00,180,97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.8,08-26-2019,01:00:00,1.40,35.70,31.39,25.0,1007.78,993.00,0.0,4.00,000,99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.9,08-26-2019,01:00:00,0.10,15.30,33.34,27.0,1006.46,1003.45,0.0,8.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",94
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.3,08-26-2019,01:00:00,0.20,2.40,30.46,25.8,1006.39,998.41,0.0,7.00,000,92
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.2,08-26-2019,01:00:00,0.30,1.60,30.26,26.7,1008.04,1006.93,9.3,7.00,170,86
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.0,08-26-2019,01:00:00,0.00,22.80,31.71,26.6,1004.69,990.02,5.6,8.00,100,91
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.4,08-26-2019,01:00:00,13.20,67.60,22.51,19.4,1008.42,873.20,0.0,.05,000,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.3,08-26-2019,01:00:00,0.10,18.30,32.18,25.7,1006.78,1000.88,3.7,9.00,190,97
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.9,08-26-2019,01:00:00,1.60,11.80,31.49,26.2,1007.91,1007.11,5.6,8.00,230,93
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.1,08-26-2019,01:00:00,2.80,3.80,31.88,26.4,1007.85,1007.40,11.1,4.00,230,93
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,08-26-2019,01:00:00,0.00,9.80,29.79,25.0,1008.35,996.96,0.0,3.00,000,94
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.0,08-26-2019,01:00:00,0.00,2.40,29.77,27.3,1007.24,1006.23,3.7,10.00,210,82
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.0,08-26-2019,01:00:00,0.00,3.60,29.89,26.5,1007.11,1005.29,0.0,7.00,000,86
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.6,08-26-2019,01:00:00,0.00,0.50,27.36,27.0,1007.26,1006.50,7.4,7.00,230,77
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.0,08-26-2019,01:00:00,4.10,4.30,29.80,25.3,1008.38,1007.67,9.3,9.00,210,92
