WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,Rainfall24Hr,StationPressure,DewPoint,VaporPressure,LandVisibility,RelativeHumidity
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.57,07-19-2019,13:00:00,0.00,35.0,150,3.7,0.00,1002.69,23.6,29.05,12.00,52
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.33,07-19-2019,13:00:00,0.00,37.8,210,5.6,0.00,983.26,22.4,27.03,12.00,41
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.08,07-19-2019,13:00:00,0.00,35.2,000,0.0,0.00,985.95,23.5,28.88,11.00,51
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.15,07-19-2019,13:00:00,0.00,35.1,150,5.6,0.00,987.48,24.0,29.84,10.00,53
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.19,07-19-2019,13:00:00,0.00,34.1,250,3.7,0.00,990.52,24.0,29.79,10.00,56
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.91,07-19-2019,13:00:00,0.00,34.5,200,3.7,0.00,990.47,25.4,32.42,10.00,59
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.76,07-19-2019,13:00:00,0.00,35.0,180,3.7,2.70,990.50,25.5,32.62,10.00,58
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.93,07-19-2019,13:00:00,0.00,37.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,0.00,1001.02,21.2,25.11,10.00,40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.05,07-19-2019,13:00:00,0.00,34.7,260,5.6,0.00,996.32,24.4,30.47,10.00,55
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.92,07-19-2019,13:00:00,0.00,34.8,230,11.1,0.00,1003.84,24.5,30.68,8.00,55
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.25,07-19-2019,13:00:00,0.00,33.5,000,0.0,0.00,989.92,23.8,29.41,8.00,57
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1004.11,07-19-2019,13:00:00,0.00,23.5,000,0.0,37.40,871.17,22.6,27.41,6.00,95
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.92,07-19-2019,13:00:00,0.00,36.5,250,3.7,0.00,998.24,25.3,32.30,10.00,53
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.98,07-19-2019,13:00:00,0.00,35.5,000,0.0,0.00,1004.21,27.3,36.26,12.00,63
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.07,07-19-2019,13:00:00,0.00,31.9,210,18.5,0.00,1004.63,25.0,31.60,10.00,67
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1005.62,07-19-2019,13:00:00,0.00,32.6,020,5.6,10.00,994.54,25.0,31.61,10.00,64
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.41,07-19-2019,13:00:00,0.00,37.1,000,0.0,0.01,1003.44,24.4,30.58,12.00,48
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.06,07-19-2019,13:00:00,0.00,34.6,270,5.6,0.00,1003.28,23.6,29.09,10.00,53
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1003.69,07-19-2019,13:00:00,0.00,36.8,000,0.0,0.00,1002.95,22.7,27.56,9.00,44
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.31,07-19-2019,13:00:00,0.00,32.7,160,14.8,15.00,1004.62,24.9,31.53,10.00,64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.06,07-19-2019,13:00:00,0.00,34.9,250,3.7,0.00,1004.38,25.4,32.40,12.00,58
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1003.64,07-19-2019,13:00:00,0.00,36.5,260,3.7,1.90,983.20,24.5,30.77,12.00,50
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1004.47,07-19-2019,13:00:00,0.00,33.7,140,9.3,0.00,988.16,25.7,33.08,10.00,63
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.87,07-19-2019,13:00:00,0.00,34.5,270,7.4,0.00,988.87,25.7,33.03,12.00,60
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1003.58,07-19-2019,13:00:00,0.00,35.8,270,5.6,0.00,982.42,23.2,28.39,10.00,48
