WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,WindDirection,RelativeHumidity,DewPoint,VaporPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,StationPressure,Rainfall24Hr
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-28-2019,04:00:00,0.0,000,98,24.4,30.56,1014.27,24.7,6.00,1007.99,1.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-28-2019,04:00:00,0.0,000,84,22.2,26.69,1014.18,25.0,10.00,997.52,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-28-2019,04:00:00,0.0,000,94,23.2,28.36,1014.48,24.2,6.00,999.85,4.80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-28-2019,04:00:00,0.0,000,95,22.1,26.58,1014.40,23.0,8.00,997.68,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-28-2019,04:00:00,0.0,000,92,24.1,29.99,1013.33,25.4,10.00,1008.04,6.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-28-2019,04:00:00,0.0,000,87,21.7,26.01,1012.47,24.0,8.00,999.07,2.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-28-2019,04:00:00,0.0,000,92,23.6,29.08,1013.27,24.9,6.00,1003.82,5.70
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-28-2019,04:00:00,3.7,030,80,20.8,24.61,1012.86,24.5,7.00,990.87,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-28-2019,04:00:00,0.0,000,85,22.6,27.46,1012.87,25.3,7.00,995.17,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-28-2019,04:00:00,3.7,010,80,19.9,23.19,1013.17,23.6,10.00,997.07,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-28-2019,04:00:00,0.0,000,89,21.0,24.87,1012.94,23.0,6.00,993.70,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-28-2019,04:00:00,0.0,000,92,20.5,24.11,1014.69,21.9,5.00,962.44,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-28-2019,04:00:00,0.0,000,90,23.7,29.38,1012.91,25.5,3.00,1008.91,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-28-2019,04:00:00,0.0,000,96,18.8,21.63,1015.02,19.4,2.50,918.53,0.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-28-2019,04:00:00,0.0,000,84,20.3,23.76,1013.27,23.2,5.00,996.98,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-28-2019,04:00:00,0.0,000,91,24.1,30.01,1013.37,25.7,6.00,1009.29,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-28-2019,04:00:00,5.6,040,90,22.7,27.60,1013.87,24.5,6.00,1003.03,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-28-2019,04:00:00,0.0,000,84,23.6,29.08,1012.14,26.5,8.00,1010.20,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-28-2019,04:00:00,0.0,000,76,20.2,23.72,1013.40,24.7,8.00,992.25,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-28-2019,04:00:00,7.4,030,79,19.1,22.13,1012.96,22.9,10.00,994.95,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-28-2019,04:00:00,0.0,000,80,19.8,23.04,1013.12,23.5,10.00,996.67,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-28-2019,04:00:00,0.0,000,81,20.6,24.30,1012.40,24.0,10.00,998.15,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-28-2019,04:00:00,0.0,000,80,20.5,24.13,1012.98,24.2,9.00,997.93,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-28-2019,04:00:00,11.1,070,84,21.7,26.01,1013.15,24.6,6.00,998.27,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-28-2019,04:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",93,24.1,30.07,1012.90,25.3,8.00,1009.85,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-28-2019,04:00:00,0.0,000,87,22.0,26.51,1012.56,24.3,8.00,1004.50,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-28-2019,04:00:00,0.0,000,88,23.3,28.67,1012.22,25.4,8.00,1011.10,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-28-2019,04:00:00,3.7,080,86,24.2,30.18,1013.15,26.8,8.00,998.36,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-28-2019,04:00:00,0.0,000,88,16.8,19.13,1013.98,18.8,8.00,877.76,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-28-2019,04:00:00,0.0,000,93,22.4,27.08,1012.96,23.6,8.00,1006.98,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-28-2019,04:00:00,0.0,000,84,24.1,30.02,1013.55,27.0,7.00,1012.74,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-28-2019,04:00:00,0.0,000,85,24.7,31.05,1011.48,27.4,8.00,1011.03,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-28-2019,04:00:00,0.0,000,94,22.4,27.16,1013.55,23.5,4.00,1002.05,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-28-2019,04:00:00,5.6,360,90,23.8,29.56,1012.63,25.6,6.00,1011.61,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-28-2019,04:00:00,0.0,000,84,22.2,26.78,1012.64,25.2,7.00,1010.79,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-28-2019,04:00:00,0.0,000,84,23.4,28.72,1011.74,26.3,4.00,1010.97,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-28-2019,04:00:00,3.7,040,88,24.7,31.19,1011.50,26.9,8.00,1010.79,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-28-2019,04:00:00,0.0,000,83,23.8,29.48,1011.79,27.0,7.00,1011.08,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-28-2019,04:00:00,1.9,020,88,22.9,27.96,1013.00,25.0,8.00,991.58,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-28-2019,04:00:00,0.0,000,89,22.4,27.01,1012.72,24.3,6.00,995.76,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-28-2019,04:00:00,3.7,010,87,22.3,26.84,1013.95,24.5,6.00,997.28,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-28-2019,04:00:00,0.0,000,90,22.6,27.43,1013.36,24.4,4.00,991.18,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-28-2019,04:00:00,5.6,060,93,20.4,23.89,1013.25,21.6,9.00,968.97,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-28-2019,04:00:00,5.6,020,90,22.8,27.78,1012.74,24.6,7.00,991.90,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-28-2019,04:00:00,9.3,030,91,21.6,25.76,1014.38,23.1,6.00,993.15,0.00
