WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,WindSpeed,VaporPressure,RelativeHumidity,Rainfall,StationPressure,AirTemperature,Rainfall24Hr,LandVisibility
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,996.55,08-30-2019,01:00:00,300,25.3,1.9,32.20,96,7.20,979.27,26.0,46.70,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,997.91,08-30-2019,01:00:00,000,25.6,0.0,32.77,92,0.00,972.39,27.0,0.00,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.12,08-30-2019,01:00:00,270,24.6,9.3,30.87,80,0.00,995.39,28.3,0.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.62,08-30-2019,01:00:00,000,25.7,0.0,32.96,85,0.00,996.49,28.5,0.00,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.33,08-30-2019,01:00:00,000,25.1,0.0,31.79,92,0.00,986.93,26.5,0.00,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.14,08-30-2019,01:00:00,240,23.4,14.8,28.82,92,0.00,980.76,24.9,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1003.25,08-30-2019,01:00:00,260,22.9,13.0,27.85,74,0.00,988.97,28.0,0.00,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1002.39,08-30-2019,01:00:00,120,23.2,11.1,28.37,71,0.00,986.19,29.0,0.00,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.01,08-30-2019,01:00:00,000,25.6,0.0,32.84,89,0.00,996.82,27.6,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,999.99,08-30-2019,01:00:00,000,25.4,0.0,32.53,90,0.00,986.90,27.3,0.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.73,08-30-2019,01:00:00,310,25.0,3.7,31.72,86,0.00,993.46,27.6,0.00,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,999.73,08-30-2019,01:00:00,240,25.4,11.1,32.48,97,2.30,978.14,26.0,3.80,5.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1001.63,08-30-2019,01:00:00,180,23.8,22.2,29.41,96,16.40,984.08,24.5,93.60,2.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,998.62,08-30-2019,01:00:00,000,23.3,0.0,28.53,96,27.80,982.77,24.0,79.50,8.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,997.79,08-30-2019,01:00:00,220,25.6,5.6,32.87,97,2.70,979.03,26.2,7.50,6.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.48,08-30-2019,01:00:00,000,22.6,0.0,27.34,92,0.00,956.88,23.9,1.00,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.50,08-30-2019,01:00:00,240,26.7,3.7,35.11,93,0.00,997.58,28.0,0.00,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1004.92,08-30-2019,01:00:00,250,20.6,16.7,24.30,97,0.00,909.90,21.1,0.10,2.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,999.06,08-30-2019,01:00:00,230,24.1,11.1,30.03,97,113.20,983.09,24.7,165.80,3.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.22,08-30-2019,01:00:00,000,24.4,0.0,30.64,82,0.01,998.22,27.9,0.01,9.00
