WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,RelativeHumidity,VaporPressure,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.6,07-08-2019,19:00:00,14.00,63,24.32,0.00,28.5,9.3,0.00,1006.96,963.94,31.4,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.4,07-08-2019,19:00:00,10.00,66,27.15,0.00,29.5,9.3,0.00,1006.64,986.25,34.2,230
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.7,07-08-2019,19:00:00,8.00,82,31.03,0.01,28.1,11.1,0.01,1007.48,986.73,36.0,220
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.2,07-08-2019,19:00:00,10.00,72,32.13,0.00,30.9,7.4,0.10,1007.72,1007.29,33.1,030
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.7,07-08-2019,19:00:00,8.00,94,32.94,0.70,26.8,0.0,20.70,1007.09,1005.67,34.3,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.9,07-08-2019,19:00:00,7.00,88,33.37,0.00,28.0,0.0,2.90,1007.35,1002.43,33.6,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.3,07-08-2019,19:00:00,12.00,64,28.53,0.00,30.8,0.0,0.01,1007.53,1004.28,33.8,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.3,07-08-2019,19:00:00,10.00,71,30.31,0.00,30.0,1.9,0.00,1007.64,1006.55,34.2,270
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.6,07-08-2019,19:00:00,8.00,76,32.92,0.00,30.3,5.6,0.00,1007.78,1007.48,34.8,200
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.9,07-08-2019,19:00:00,10.00,74,31.44,0.00,30.0,9.3,0.00,1007.32,1006.64,34.6,210
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.5,07-08-2019,19:00:00,10.00,74,32.67,0.00,30.6,0.0,0.00,1007.36,1006.88,35.0,000
