WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,RelativeHumidity,Rainfall,DewPoint,MeanSeaLevelPressure,WindDirection,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-29-2019,13:00:00,32.67,81,0.00,25.5,1007.66,230,8.00,29.2,8.60,1006.68,13.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-29-2019,13:00:00,31.56,77,0.00,24.9,1007.69,270,10.00,29.5,0.60,1006.88,18.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-29-2019,13:00:00,33.83,83,0.90,26.1,1007.69,200,10.00,29.2,12.30,1005.89,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-29-2019,13:00:00,29.74,79,1.00,23.9,1008.18,240,11.00,28.0,1.00,1007.43,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-29-2019,13:00:00,30.32,96,14.00,24.3,1008.25,300,6.00,25.0,14.00,1004.22,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-29-2019,13:00:00,30.30,90,4.10,24.3,1008.75,000,8.00,26.0,9.50,1008.06,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-29-2019,13:00:00,29.85,97,6.20,24.0,1008.82,330,10.00,24.6,6.20,1007.69,5.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-29-2019,13:00:00,30.42,95,8.80,24.3,1008.62,260,8.00,25.2,8.80,1005.67,14.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-29-2019,13:00:00,32.77,92,4.00,25.6,1007.17,220,8.00,27.0,4.00,1006.49,7.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-29-2019,13:00:00,28.48,63,0.00,23.2,1007.71,230,10.00,31.2,0.00,1003.64,9.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-29-2019,13:00:00,27.79,59,0.00,22.8,1007.07,320,10.00,31.7,0.00,1006.49,11.1
