WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall,MaximumTemperature,DewPoint,AirTemperature
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.46,07-29-2019,19:00:00,0.00,0.0,28.89,69,1006.03,000,8.00,0.00,36.6,23.5,29.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.60,07-29-2019,19:00:00,0.20,5.6,27.55,65,1005.51,240,10.00,0.00,37.8,22.7,30.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,983.63,07-29-2019,19:00:00,0.00,5.6,25.55,53,1004.08,250,12.00,0.00,36.5,21.4,32.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.12,07-29-2019,19:00:00,6.90,0.0,30.07,93,1004.85,000,9.00,6.30,35.0,24.1,25.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.43,07-29-2019,19:00:00,16.30,7.4,31.25,96,1004.63,190,8.00,16.20,34.5,24.8,25.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.69,07-29-2019,19:00:00,2.00,0.0,29.13,88,1005.76,000,10.00,0.80,33.8,23.6,25.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,991.01,07-29-2019,19:00:00,1.40,0.0,28.95,88,1005.88,000,9.00,0.00,32.3,23.5,25.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,990.43,07-29-2019,19:00:00,8.40,5.6,29.13,59,1004.79,080,7.00,3.40,34.1,23.6,32.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.78,07-29-2019,19:00:00,0.50,0.0,29.68,66,1004.75,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,0.00,35.7,23.9,31.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.72,07-29-2019,19:00:00,1.60,0.0,31.85,89,1004.65,000,10.00,1.50,35.3,25.1,27.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.23,07-29-2019,19:00:00,0.00,13.0,25.88,60,1005.33,220,8.00,0.00,36.0,21.7,30.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.98,07-29-2019,19:00:00,0.90,0.0,36.27,90,1005.54,000,7.00,0.90,32.2,27.3,29.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.63,07-29-2019,19:00:00,50.20,11.1,22.77,98,1007.52,300,4.00,2.60,24.1,19.6,19.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.20,07-29-2019,19:00:00,0.00,0.0,30.20,65,1004.98,000,10.00,0.00,37.3,24.2,31.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.55,07-29-2019,19:00:00,0.00,9.3,25.22,56,1006.34,270,9.00,0.00,36.5,21.2,31.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.66,07-29-2019,19:00:00,0.00,16.7,27.27,61,1006.10,230,10.00,0.00,34.0,22.5,31.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.25,07-29-2019,19:00:00,4.20,0.0,28.18,84,1008.60,000,6.00,0.00,27.8,23.1,26.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.89,07-29-2019,19:00:00,0.00,5.6,25.52,59,1005.89,270,12.00,0.00,36.5,21.4,30.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.60,07-29-2019,19:00:00,0.01,3.7,29.48,66,1005.39,200,8.00,0.00,36.7,23.8,31.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.36,07-29-2019,19:00:00,0.00,3.7,23.67,57,1006.12,230,9.00,0.00,34.8,20.2,29.6
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.98,07-29-2019,19:00:00,5.80,16.7,24.12,57,1006.68,280,10.00,0.20,35.1,20.5,30.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.90,07-29-2019,19:00:00,17.00,3.7,28.53,64,1005.59,240,9.00,0.00,35.6,23.3,30.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,983.57,07-29-2019,19:00:00,0.10,9.3,27.82,59,1004.32,270,10.00,0.10,36.8,22.8,32.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,988.94,07-29-2019,19:00:00,28.40,0.0,30.63,93,1005.71,000,4.00,17.00,35.8,24.4,25.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.92,07-29-2019,19:00:00,25.90,5.6,30.12,84,1006.32,310,5.00,2.60,35.6,24.2,27.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,982.42,07-29-2019,19:00:00,0.00,18.5,24.57,52,1003.85,290,10.00,0.00,35.8,20.8,32.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.55,07-29-2019,19:00:00,0.00,11.1,24.23,64,1005.59,230,15.00,0.00,33.3,20.6,28.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,983.96,07-29-2019,19:00:00,0.00,13.0,25.78,56,1004.16,230,10.00,0.00,36.8,21.6,31.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,985.49,07-29-2019,19:00:00,23.20,18.5,32.50,79,1006.13,040,8.00,0.00,35.4,25.4,29.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.12,07-29-2019,19:00:00,0.00,18.5,24.57,57,1006.55,270,10.00,0.00,34.3,20.8,30.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.30,07-29-2019,19:00:00,12.40,0.0,31.38,88,1005.72,000,11.00,0.40,33.9,24.8,27.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.69,07-29-2019,19:00:00,0.00,5.6,28.64,72,1006.59,300,7.00,0.00,34.4,23.3,29.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.49,07-29-2019,19:00:00,0.00,7.4,25.83,63,1006.75,220,12.00,0.00,34.4,21.6,29.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.58,07-29-2019,19:00:00,0.00,1.9,28.00,71,1006.68,260,10.00,0.00,35.2,22.9,28.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.03,07-29-2019,19:00:00,0.00,14.8,24.78,55,1006.33,290,10.00,0.00,35.2,20.9,31.1
