WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindSpeed,VaporPressure,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-07-2019,01:00:00,000,0.00,1006.80,0.00,0.0,29.76,10.00,26.0,24.0,89,985.88
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-07-2019,01:00:00,240,0.00,1005.43,0.00,9.3,31.52,10.00,27.5,24.9,86,987.82
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-07-2019,01:00:00,210,0.00,1005.31,0.00,7.4,32.03,10.00,27.9,25.2,85,989.22
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-07-2019,01:00:00,210,5.20,1006.63,0.00,9.3,31.41,10.00,27.3,24.9,87,992.62
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-07-2019,01:00:00,260,14.40,1007.01,0.00,3.7,32.74,9.00,26.7,25.6,94,992.17
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-07-2019,01:00:00,000,0.20,1007.80,0.00,0.0,32.94,6.00,26.8,25.7,94,993.11
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-07-2019,01:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1007.01,0.00,0.0,29.15,10.00,27.4,23.6,80,1003.99
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-07-2019,01:00:00,000,1.00,1006.95,0.01,0.0,31.19,7.00,25.9,24.7,93,998.97
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-07-2019,01:00:00,200,0.00,1008.11,0.00,9.3,29.23,7.00,27.3,23.7,81,1007.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-07-2019,01:00:00,000,0.00,1004.80,0.00,0.0,31.94,9.00,27.0,25.1,90,990.15
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-07-2019,01:00:00,270,10.00,1009.52,0.00,7.4,22.15,.10,19.3,19.1,99,874.11
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-07-2019,01:00:00,000,19.40,1007.12,0.00,0.0,30.32,10.00,25.0,24.3,96,1001.20
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-07-2019,01:00:00,240,4.00,1008.88,0.00,3.7,31.77,7.00,27.2,25.1,88,1008.07
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-07-2019,01:00:00,210,6.70,1007.06,0.00,11.1,30.18,10.00,28.8,24.2,76,1006.61
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-07-2019,01:00:00,000,9.00,1009.00,0.20,0.0,29.41,3.00,24.5,23.8,96,997.58
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-07-2019,01:00:00,210,0.00,1007.80,0.00,5.6,29.93,10.00,27.1,24.1,84,1006.79
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-07-2019,01:00:00,000,4.20,1007.52,1.00,0.0,30.67,7.00,26.2,24.5,90,1005.69
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-07-2019,01:00:00,000,3.60,1007.74,0.00,0.0,28.80,4.00,26.2,23.4,85,1006.97
