WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,MinimumTemperature,VaporPressure,Rainfall,WindDirection,LandVisibility,Rainfall24Hr,AirTemperature
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.14,08-22-2019,07:00:00,98,3.7,24.9,1010.22,24.7,31.49,0.00,180,10.00,0.00,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.94,08-22-2019,07:00:00,81,5.6,24.6,1008.23,27.3,30.95,0.00,160,10.00,0.00,28.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.10,08-22-2019,07:00:00,83,0.0,25.1,1008.22,27.8,31.79,0.00,000,10.00,0.00,28.2
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.34,08-22-2019,07:00:00,82,0.0,24.4,1008.27,27.1,30.53,0.00,000,10.00,0.00,27.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1003.12,08-22-2019,07:00:00,90,0.0,25.3,1008.72,25.7,32.21,0.00,000,8.00,0.00,27.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.79,08-22-2019,07:00:00,81,0.0,24.4,1008.08,27.5,30.56,0.00,000,10.00,0.00,28.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.54,08-22-2019,07:00:00,96,3.7,24.8,1008.81,25.0,31.25,0.00,180,12.00,3.30,25.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.68,08-22-2019,07:00:00,77,13.0,23.7,1008.11,26.7,29.38,0.00,240,11.00,0.70,28.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.88,08-22-2019,07:00:00,91,0.0,23.5,1008.23,24.7,28.92,0.00,000,10.00,0.00,25.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.50,08-22-2019,07:00:00,83,7.4,23.8,1008.21,26.2,29.48,0.00,210,10.00,5.50,27.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.97,08-22-2019,07:00:00,77,7.4,23.9,1008.40,27.0,29.57,0.00,210,10.00,2.00,28.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.15,08-22-2019,07:00:00,78,14.8,24.9,1008.66,28.4,31.41,0.00,250,10.00,0.00,29.0
