WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,StationPressure,Rainfall24Hr,AirTemperature,WindDirection,DewPoint,RelativeHumidity
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-07-2019,04:00:00,7.00,1006.04,0.0,29.41,970.38,0.00,24.5,000,23.8,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-07-2019,04:00:00,12.00,1004.94,0.0,28.09,975.02,3.20,23.6,000,23.0,96
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-07-2019,04:00:00,8.00,1005.98,0.0,30.76,998.66,0.00,26.1,000,24.5,91
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-07-2019,04:00:00,10.00,1005.14,0.0,33.10,985.26,0.40,26.6,000,25.7,95
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-07-2019,04:00:00,12.00,1005.56,3.7,28.59,976.84,0.40,25.5,340,23.3,88
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-07-2019,04:00:00,10.00,1005.18,0.0,31.08,984.97,7.10,25.7,000,24.7,94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-07-2019,04:00:00,12.00,1005.80,3.7,28.90,984.08,0.00,26.4,180,23.5,84
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-07-2019,04:00:00,10.00,1004.99,0.0,30.57,985.49,0.00,26.0,000,24.4,91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,09-07-2019,04:00:00,10.00,1005.85,0.0,30.84,989.08,0.01,26.0,000,24.6,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-07-2019,04:00:00,10.00,1006.00,0.0,31.17,988.53,0.80,25.6,000,24.7,95
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.20,09-07-2019,04:00:00,9.00,1004.37,0.0,31.00,978.58,9.00,25.8,000,24.6,93
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-07-2019,04:00:00,10.00,1005.53,0.0,30.02,999.75,0.00,27.0,000,24.1,84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-07-2019,04:00:00,10.00,1004.61,0.0,29.72,998.43,0.00,26.7,000,23.9,85
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-07-2019,04:00:00,10.00,1006.66,0.0,29.99,990.15,0.00,25.4,000,24.1,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,09-07-2019,04:00:00,10.00,1006.13,0.0,28.01,983.59,16.10,23.7,000,23.0,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-07-2019,04:00:00,7.00,1006.74,5.6,27.19,992.37,0.00,27.2,280,22.5,75
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-07-2019,04:00:00,10.00,1006.32,0.0,33.02,1001.10,0.01,26.7,000,25.7,94
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-07-2019,04:00:00,10.00,1005.37,0.0,30.17,992.13,0.00,25.5,000,24.2,93
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-07-2019,04:00:00,10.00,1006.14,0.0,30.38,996.79,1.40,25.9,000,24.3,91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-07-2019,04:00:00,8.00,1005.93,3.7,31.52,984.16,9.00,25.5,190,24.9,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-07-2019,04:00:00,8.00,1004.78,0.0,30.02,987.32,2.20,27.0,000,24.1,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-07-2019,04:00:00,10.00,1005.27,0.0,31.17,989.39,8.50,25.6,000,24.7,95
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-07-2019,04:00:00,8.00,1004.92,1.9,30.86,986.04,1.00,26.3,140,24.6,90
