WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,RelativeHumidity,LandVisibility,Rainfall,DewPoint,MeanSeaLevelPressure
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,9.60,08-17-2019,22:00:00,991.12,0.0,30.43,26.5,000,88,10.00,0.01,24.3,1008.57
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.40,08-17-2019,22:00:00,981.66,0.0,30.28,24.4,000,99,8.00,10.20,24.2,1007.66
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-17-2019,22:00:00,1002.89,5.6,33.62,27.7,180,91,10.00,0.00,26.0,1008.67
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-17-2019,22:00:00,1002.18,0.0,32.77,27.0,000,92,10.00,0.00,25.6,1008.38
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.40,08-17-2019,22:00:00,993.28,0.0,28.59,25.5,000,88,8.00,4.20,23.3,1009.84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,33.80,08-17-2019,22:00:00,985.62,0.0,28.16,25.7,000,85,10.00,0.00,23.0,1008.06
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-17-2019,22:00:00,994.02,7.4,27.97,28.5,260,72,8.00,0.00,22.9,1008.35
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-17-2019,22:00:00,992.24,0.0,29.19,28.0,000,77,7.00,0.00,23.6,1008.59
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,2.80,08-17-2019,22:00:00,1003.62,0.0,30.84,26.0,000,92,10.00,0.00,24.6,1008.87
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-17-2019,22:00:00,994.35,0.0,30.02,27.0,000,84,10.00,0.00,24.1,1007.55
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.10,08-17-2019,22:00:00,999.38,0.0,32.32,26.2,000,95,10.00,0.30,25.3,1008.74
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.60,08-17-2019,22:00:00,986.11,5.6,30.56,27.0,200,86,8.00,0.80,24.4,1007.81
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.60,08-17-2019,22:00:00,990.91,3.7,31.38,26.0,210,93,10.00,0.60,24.8,1008.49
