WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,Rainfall,DewPoint,AirTemperature,LandVisibility
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,84,08-23-2019,10:00:00,000,30.02,1011.61,23.40,0.0,1012.05,0.00,24.1,27.0,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,98,08-23-2019,10:00:00,000,31.12,1010.94,22.60,0.0,1011.95,20.00,24.7,25.0,8.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,92,08-23-2019,10:00:00,210,36.44,1011.41,42.00,5.6,1012.22,0.00,27.4,28.9,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,69,08-23-2019,10:00:00,000,30.90,1010.08,0.00,0.0,1011.88,0.00,24.6,31.0,14.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,61,08-23-2019,10:00:00,190,28.23,1011.14,0.00,3.7,1011.88,0.00,23.1,31.5,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,65,08-23-2019,10:00:00,090,29.32,1007.98,0.00,5.6,1011.94,0.00,23.7,31.2,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,69,08-23-2019,10:00:00,000,30.90,1011.41,0.00,0.0,1012.09,0.00,24.6,31.0,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,61,08-23-2019,10:00:00,000,28.54,1010.58,0.00,0.0,1011.68,0.00,23.3,31.8,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,69,08-23-2019,10:00:00,200,31.85,1008.87,0.00,9.3,1011.76,0.00,25.1,31.6,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,66,08-23-2019,10:00:00,000,30.49,1010.84,0.00,0.0,1011.52,0.00,24.4,31.5,12.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,66,08-23-2019,10:00:00,000,28.97,1008.21,0.00,0.0,1012.30,0.00,23.5,30.6,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,66,08-23-2019,10:00:00,000,30.49,1012.31,0.00,0.0,1012.89,0.00,24.4,31.5,10.00
