WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,RelativeHumidity,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,Rainfall
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-07-2019,10:00:00,31.0,10.00,60,160,22.2,9.3,26.73,981.76,0.00,1008.91,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-07-2019,10:00:00,30.5,12.00,63,000,22.8,0.0,27.68,974.88,0.40,1008.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-07-2019,10:00:00,31.0,15.00,66,180,23.8,11.1,29.48,989.66,0.00,1007.91,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-07-2019,10:00:00,30.8,10.00,65,000,23.4,0.0,28.81,985.56,0.00,1008.07,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-07-2019,10:00:00,29.5,12.00,69,000,23.2,0.0,28.50,978.53,0.00,1008.14,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-07-2019,10:00:00,29.7,8.00,73,000,24.4,0.0,30.55,973.20,0.00,1008.34,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-07-2019,10:00:00,31.0,16.00,72,050,25.4,3.7,32.34,977.36,3.20,1006.61,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-07-2019,10:00:00,31.5,13.00,66,180,24.4,9.3,30.49,1001.58,0.00,1008.78,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-07-2019,10:00:00,30.7,20.00,73,250,25.3,13.0,32.30,987.48,0.40,1007.12,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,09-07-2019,10:00:00,31.0,17.00,63,300,23.0,3.7,28.09,978.88,0.40,1007.13,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-07-2019,10:00:00,31.4,15.00,65,280,24.1,9.3,30.00,987.66,7.10,1007.53,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-07-2019,10:00:00,30.0,15.00,75,240,25.2,5.6,32.01,985.89,0.00,1007.40,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-07-2019,10:00:00,30.0,15.00,75,300,25.2,7.4,32.01,988.04,0.00,1007.33,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-07-2019,10:00:00,29.1,12.00,81,120,25.6,1.9,32.75,990.93,0.50,1007.56,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-07-2019,10:00:00,28.5,10.00,81,000,24.9,0.0,31.54,990.83,0.90,1008.16,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-07-2019,10:00:00,30.0,13.00,71,110,24.3,3.7,30.31,981.15,9.00,1006.65,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-07-2019,10:00:00,31.3,10.00,70,270,25.1,3.7,31.80,1002.45,0.00,1008.16,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-07-2019,10:00:00,31.0,12.00,68,270,24.3,11.1,30.33,1002.58,0.00,1008.70,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-07-2019,10:00:00,30.0,10.00,71,000,24.3,0.0,30.31,992.72,0.00,1009.02,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-07-2019,10:00:00,25.6,10.00,93,000,24.3,0.0,30.36,985.99,13.00,1008.44,1.60
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-07-2019,10:00:00,29.7,10.00,70,000,23.6,0.0,29.16,995.45,0.00,1009.74,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-07-2019,10:00:00,30.5,12.00,68,000,24.0,0.0,29.89,993.64,0.00,1009.88,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-07-2019,10:00:00,30.5,10.00,69,220,24.2,5.6,30.18,1003.83,0.01,1009.01,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-07-2019,10:00:00,29.6,12.00,77,000,25.2,0.0,32.05,994.49,0.00,1007.58,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-07-2019,10:00:00,30.0,12.00,68,180,23.5,3.7,28.91,999.62,1.40,1008.87,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-07-2019,10:00:00,28.5,10.00,81,000,24.9,0.0,31.54,986.40,8.40,1007.99,0.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-07-2019,10:00:00,30.6,12.00,71,300,24.8,13.0,31.23,990.54,1.00,1007.85,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-07-2019,10:00:00,29.5,11.00,78,200,25.2,5.6,32.13,990.98,8.50,1006.68,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-07-2019,10:00:00,28.5,10.00,78,260,24.2,1.9,30.15,988.24,0.50,1007.02,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-07-2019,10:00:00,25.2,9.00,90,000,23.4,0.0,28.83,959.53,22.50,1011.03,2.40
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-07-2019,10:00:00,30.5,8.00,75,140,25.6,7.4,32.75,1004.84,3.10,1008.76,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-07-2019,10:00:00,22.2,4.00,94,220,21.1,11.1,25.05,914.62,6.70,1009.75,0.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-07-2019,10:00:00,28.8,8.00,80,230,24.9,9.3,31.57,991.89,0.00,1007.79,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-07-2019,10:00:00,29.5,10.00,75,210,24.5,7.4,30.72,1005.22,0.01,1009.23,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-07-2019,10:00:00,29.8,8.00,71,180,24.0,5.6,29.91,999.51,4.00,1010.12,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-07-2019,10:00:00,30.0,9.00,69,180,23.8,5.6,29.47,1008.20,7.90,1010.12,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-07-2019,10:00:00,29.8,10.00,65,270,22.5,5.6,27.17,987.96,0.00,1008.66,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-07-2019,10:00:00,29.3,10.00,74,240,24.3,11.1,30.32,990.14,0.20,1007.68,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-07-2019,10:00:00,30.0,10.00,70,230,24.0,7.4,29.75,991.58,0.01,1007.59,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-07-2019,10:00:00,29.0,10.00,77,270,24.6,9.3,30.85,994.38,0.00,1008.34,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-07-2019,10:00:00,29.4,10.00,75,260,24.5,5.6,30.80,994.05,0.90,1008.79,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-07-2019,10:00:00,30.0,10.00,75,280,25.0,18.5,31.72,993.99,0.00,1008.53,0.00
