WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,WindDirection,VaporPressure,DewPoint
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.10,09-04-2019,13:00:00,985.16,15.60,1001.85,6.00,1.9,26.2,94,270,32.04,25.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,47.80,09-04-2019,13:00:00,984.82,12.80,1002.20,7.00,0.0,25.9,96,000,32.01,25.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1.20,09-04-2019,13:00:00,975.95,0.00,1001.26,15.00,11.1,30.7,67,300,29.73,23.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-04-2019,13:00:00,998.60,0.00,1004.27,10.00,0.0,32.5,64,000,31.11,24.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-04-2019,13:00:00,998.31,0.00,1004.37,12.00,7.4,32.7,63,250,30.94,24.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.40,09-04-2019,13:00:00,988.39,0.00,1004.53,10.00,0.0,31.7,67,000,31.19,24.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.90,09-04-2019,13:00:00,982.40,0.20,1004.47,10.00,9.3,29.5,73,250,30.16,24.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-04-2019,13:00:00,991.53,0.00,1005.70,10.00,13.0,31.2,63,270,28.48,23.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-04-2019,13:00:00,988.23,0.00,1004.17,12.00,0.0,34.5,52,000,28.59,23.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.20,09-04-2019,13:00:00,999.71,0.00,1004.83,10.00,11.1,32.5,58,280,28.25,23.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,3.60,09-04-2019,13:00:00,989.71,0.00,1002.62,12.00,0.0,32.2,65,000,31.35,24.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,09-04-2019,13:00:00,995.68,0.00,1004.80,12.00,0.0,33.1,57,000,28.60,23.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.70,09-04-2019,13:00:00,981.61,0.00,1003.03,12.00,5.6,29.5,83,210,34.16,26.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.60,09-04-2019,13:00:00,984.94,0.00,1002.18,10.00,0.0,30.0,78,000,33.17,25.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,51.50,09-04-2019,13:00:00,985.59,8.60,1001.46,10.00,3.7,24.6,97,230,29.85,24.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.20,09-04-2019,13:00:00,983.39,0.00,1002.01,10.00,5.6,29.6,75,180,31.20,24.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.20,09-04-2019,13:00:00,954.07,0.00,1004.97,11.00,0.0,27.0,73,000,26.06,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-04-2019,13:00:00,1000.62,0.00,1004.50,11.00,3.7,32.5,60,240,29.38,23.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.70,09-04-2019,13:00:00,911.36,0.01,1005.43,8.00,16.7,24.4,84,260,25.68,21.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,37.70,09-04-2019,13:00:00,987.22,2.00,1003.17,8.00,0.0,26.5,93,000,32.35,25.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.20,09-04-2019,13:00:00,1001.23,0.00,1005.18,10.00,1.9,32.4,65,250,31.77,25.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-04-2019,13:00:00,995.19,0.00,1005.70,9.00,7.4,31.3,64,200,29.24,23.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.70,09-04-2019,13:00:00,1004.13,0.00,1006.03,10.00,7.4,31.5,69,190,31.93,25.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.40,09-04-2019,13:00:00,982.45,0.00,1003.07,10.00,14.8,29.3,70,250,28.40,23.2
