WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,LandVisibility,RelativeHumidity,WindDirection,VaporPressure,DewPoint,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-04-2019,10:00:00,981.90,6.00,70,050,30.14,24.2,0.00,5.6,1011.37,30.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-04-2019,10:00:00,1004.41,8.00,69,000,30.90,24.6,0.00,0.0,1011.65,31.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-04-2019,10:00:00,992.41,6.00,82,060,30.15,24.2,0.00,7.4,1012.36,27.5
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-04-2019,10:00:00,983.31,5.00,66,030,29.48,23.8,0.00,5.6,1011.69,31.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-04-2019,10:00:00,991.87,7.00,74,090,31.56,24.9,0.00,7.4,1011.91,30.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-04-2019,10:00:00,991.06,7.00,77,050,31.25,24.8,0.00,3.7,1012.74,29.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-04-2019,10:00:00,993.37,8.00,65,030,25.35,21.3,0.00,14.8,1012.86,28.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,10-04-2019,10:00:00,996.74,10.00,74,180,25.97,21.7,0.01,1.9,1013.60,26.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.40,10-04-2019,10:00:00,996.21,8.00,79,000,28.33,23.1,0.40,0.0,1013.72,27.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-04-2019,10:00:00,985.02,7.00,60,000,28.98,23.5,0.01,0.0,1010.43,32.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-04-2019,10:00:00,1005.81,8.00,80,150,35.48,26.9,0.00,9.3,1011.55,30.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-04-2019,10:00:00,1005.44,8.00,75,000,33.81,26.1,0.00,0.0,1011.58,31.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-04-2019,10:00:00,996.76,9.00,70,000,30.14,24.2,0.00,0.0,1013.12,30.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-04-2019,10:00:00,988.47,10.00,69,000,28.12,23.0,0.00,0.0,1010.70,29.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-04-2019,10:00:00,997.99,10.00,67,250,30.98,24.6,0.00,5.6,1012.23,31.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-04-2019,10:00:00,995.69,12.00,67,120,31.19,24.7,0.00,9.3,1011.89,31.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-04-2019,10:00:00,1006.85,7.00,76,220,32.92,25.6,0.00,7.4,1012.04,30.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-04-2019,10:00:00,997.74,10.00,69,000,30.90,24.6,0.00,0.0,1010.81,31.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-04-2019,10:00:00,1002.78,10.00,71,260,31.43,24.9,0.00,3.7,1012.04,30.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-04-2019,10:00:00,990.40,5.00,75,210,33.81,26.1,0.00,3.7,1011.91,31.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-04-2019,10:00:00,996.99,8.00,68,120,29.81,24.0,0.00,11.1,1014.41,30.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-04-2019,10:00:00,996.49,12.00,70,200,28.78,23.4,0.00,3.7,1012.28,29.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-04-2019,10:00:00,992.36,7.00,80,190,33.75,26.1,0.00,1.9,1011.13,30.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-04-2019,10:00:00,961.60,11.00,75,000,27.19,22.5,0.00,0.0,1012.87,27.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-04-2019,10:00:00,1007.55,3.00,76,150,33.34,25.9,0.00,7.4,1011.47,30.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-04-2019,10:00:00,917.36,8.00,82,000,24.54,20.8,6.00,0.0,1012.19,24.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-04-2019,10:00:00,996.23,8.00,76,190,33.13,25.8,0.00,5.6,1012.12,30.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-04-2019,10:00:00,1008.15,9.00,75,150,32.01,25.2,5.90,3.7,1012.16,30.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-04-2019,10:00:00,1002.20,8.00,69,000,30.90,24.6,0.00,0.0,1012.79,31.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-04-2019,10:00:00,1010.46,10.00,68,190,29.89,24.0,0.00,5.6,1012.38,30.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-04-2019,10:00:00,990.91,7.00,66,200,29.76,24.0,0.00,7.4,1011.59,31.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-04-2019,10:00:00,994.38,10.00,71,100,31.23,24.8,0.00,7.4,1011.92,30.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-04-2019,10:00:00,995.77,10.00,73,150,32.51,25.4,0.00,11.1,1011.80,30.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-04-2019,10:00:00,998.91,10.00,72,150,28.83,23.4,0.50,11.1,1012.93,29.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-04-2019,10:00:00,999.32,8.00,80,000,27.77,22.8,0.00,0.0,1014.28,26.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-04-2019,10:00:00,998.27,8.00,75,000,30.01,24.1,19.10,0.0,1012.93,29.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-04-2019,10:00:00,1008.94,10.00,71,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.43,24.9,0.00,0.0,1011.94,30.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-04-2019,10:00:00,1003.96,10.00,66,080,30.37,24.3,0.00,7.4,1011.83,31.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-04-2019,10:00:00,1010.70,8.00,78,140,33.80,26.1,0.00,7.4,1011.81,30.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-04-2019,10:00:00,998.28,8.00,77,000,29.19,23.6,0.00,0.0,1013.00,28.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-04-2019,10:00:00,877.21,8.00,74,060,24.12,20.5,11.60,3.7,1010.18,25.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-04-2019,10:00:00,1006.33,5.00,74,000,33.22,25.8,26.60,0.0,1012.16,31.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-04-2019,10:00:00,1011.09,8.00,71,000,33.02,25.7,15.10,0.0,1011.88,31.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-04-2019,10:00:00,1011.23,10.00,78,150,35.01,26.7,3.40,7.4,1011.67,31.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-04-2019,10:00:00,1001.06,10.00,68,000,32.74,25.6,0.00,0.0,1012.22,32.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-04-2019,10:00:00,1011.17,8.00,70,190,32.10,25.2,0.00,5.6,1012.17,31.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-04-2019,10:00:00,1010.22,7.00,70,200,32.10,25.2,0.00,3.7,1012.03,31.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-04-2019,10:00:00,1011.23,11.00,69,000,30.90,24.6,0.00,0.0,1011.98,31.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-04-2019,10:00:00,1011.51,10.00,73,170,32.72,25.5,0.00,9.3,1012.21,30.9
