WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,VaporPressure,DewPoint,LandVisibility,WindSpeed,Rainfall,StationPressure,MeanSeaLevelPressure,RelativeHumidity
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,230,08-17-2019,10:00:00,30.8,0.00,31.06,24.7,10.00,11.1,0.00,1000.21,1009.43,70
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,150,08-17-2019,10:00:00,28.7,5.00,33.95,26.2,12.00,7.4,0.00,1008.14,1009.39,86
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,160,08-17-2019,10:00:00,29.5,12.60,32.13,25.2,11.00,11.1,0.00,1008.54,1008.97,78
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,180,08-17-2019,10:00:00,28.7,0.01,30.26,24.2,10.00,3.7,0.01,997.04,1009.25,77
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,240,08-17-2019,10:00:00,29.3,1.00,29.77,24.0,10.00,11.1,0.00,1008.42,1009.13,73
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,210,08-17-2019,10:00:00,31.0,0.01,30.61,24.4,10.00,18.5,0.00,1006.99,1009.39,68
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,200,08-17-2019,10:00:00,30.0,0.00,33.75,26.1,12.00,16.7,0.00,1009.21,1009.73,80
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,200,08-17-2019,10:00:00,30.7,0.00,29.17,23.6,12.00,11.1,0.00,1004.38,1009.49,66
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-17-2019,10:00:00,28.6,5.30,34.32,26.4,8.00,0.0,3.50,1009.45,1009.86,88
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-17-2019,10:00:00,28.0,12.50,33.37,25.9,8.00,0.0,10.00,1007.59,1010.36,88
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,240,08-17-2019,10:00:00,30.4,0.00,28.59,23.3,10.00,22.2,0.00,1009.24,1010.02,66
48501,TRAD,ตราด,ตราด,11.76667,102.88333,090,08-17-2019,10:00:00,24.8,67.90,30.48,24.4,5.00,5.6,43.50,1010.94,1011.41,97
