WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,DewPoint,MeanSeaLevelPressure,StationPressure,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,WindDirection
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-25-2019,22:00:00,0.0,26.1,1005.98,1000.19,26.5,33.75,4.10,98,5.20,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-25-2019,22:00:00,0.0,25.6,1006.42,1000.22,26.3,32.79,0.01,96,7.70,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-25-2019,22:00:00,5.6,25.2,1006.62,990.18,26.8,32.10,0.00,91,1.00,200
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,08-25-2019,22:00:00,0.0,23.1,1007.01,984.48,24.1,28.19,9.50,94,11.60,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,08-25-2019,22:00:00,13.0,22.1,1007.23,992.89,28.0,26.54,0.00,70,0.00,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-25-2019,22:00:00,0.0,24.1,1006.26,989.90,27.0,30.02,0.00,84,0.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,7.00,08-25-2019,22:00:00,0.0,24.8,1006.70,1001.45,25.5,31.25,3.70,96,3.70,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,7.00,08-25-2019,22:00:00,0.0,24.3,1005.51,992.31,26.5,30.43,1.00,88,4.80,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-25-2019,22:00:00,3.7,25.3,1006.69,997.35,26.4,32.15,0.80,93,1.20,150
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,08-25-2019,22:00:00,0.0,26.1,1005.92,984.30,27.5,33.78,0.01,92,9.20,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,08-25-2019,22:00:00,9.3,23.6,1007.41,989.96,28.0,29.19,0.00,77,11.90,230
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-25-2019,22:00:00,0.0,25.5,1004.74,988.87,25.5,32.62,0.00,100,19.10,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,7.00,08-25-2019,22:00:00,0.0,26.0,1004.95,986.12,27.1,33.54,0.60,94,3.70,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,08-25-2019,22:00:00,0.0,22.0,1008.26,956.70,24.0,26.50,0.00,89,1.20,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-25-2019,22:00:00,3.7,24.6,1006.92,1002.95,26.2,30.94,0.00,91,2.10,270
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.15,08-25-2019,22:00:00,24.1,20.3,1008.20,912.72,20.6,23.78,4.50,98,9.80,230
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,6.00,08-25-2019,22:00:00,0.0,25.7,1005.99,990.00,26.7,33.02,0.00,94,9.90,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.00,08-25-2019,22:00:00,0.0,25.1,1007.17,1003.13,26.1,31.85,2.30,94,10.20,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,08-25-2019,22:00:00,0.0,24.2,1008.29,997.55,25.7,30.28,0.00,92,12.50,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,08-25-2019,22:00:00,0.0,25.4,1007.46,1005.54,27.5,32.36,0.00,88,2.10,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,6.00,08-25-2019,22:00:00,11.1,23.2,1007.36,986.43,26.0,28.44,0.20,85,5.60,240
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-25-2019,22:00:00,18.5,24.8,1006.09,988.35,25.5,31.25,0.60,96,31.30,190
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,8.00,08-25-2019,22:00:00,7.4,24.8,1005.83,989.61,25.5,31.25,1.90,96,36.80,140
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,8.00,08-25-2019,22:00:00,13.0,24.5,1007.75,993.63,25.2,30.69,6.50,96,27.20,200
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,7.00,08-25-2019,22:00:00,3.7,24.6,1007.73,992.83,25.9,30.92,0.20,93,13.50,210
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,4.00,08-25-2019,22:00:00,0.0,24.4,1008.28,993.50,25.0,30.58,1.90,97,44.90,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,7.00,08-25-2019,22:00:00,0.0,25.7,1007.15,1004.13,26.7,33.02,3.20,94,16.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,8.00,08-25-2019,22:00:00,0.0,24.0,1007.20,999.23,26.5,29.89,0.01,86,40.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.00,08-25-2019,22:00:00,5.6,24.3,1007.64,1006.53,27.5,30.42,0.70,83,1.90,210
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,7.00,08-25-2019,22:00:00,3.7,26.1,1004.57,989.97,27.9,33.74,9.10,90,34.00,090
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-25-2019,22:00:00,9.3,19.7,1009.49,874.25,19.7,22.93,41.80,100,73.60,260
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,9.00,08-25-2019,22:00:00,5.6,24.4,1007.34,1001.42,25.1,30.50,10.90,96,37.80,220
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-25-2019,22:00:00,0.0,26.1,1007.90,1007.10,27.7,33.90,0.01,91,10.20,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,6.00,08-25-2019,22:00:00,14.8,24.6,1008.18,1007.73,27.5,30.97,1.00,84,1.00,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,08-25-2019,22:00:00,0.0,23.8,1008.75,997.36,25.3,29.54,0.00,92,10.30,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-25-2019,22:00:00,3.7,24.3,1007.86,1006.85,28.2,30.40,0.00,80,2.40,200
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-25-2019,22:00:00,3.7,24.6,1007.55,1005.73,26.5,30.97,3.20,89,5.10,190
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.00,08-25-2019,22:00:00,0.0,22.9,1007.81,1007.04,28.0,27.85,0.10,74,0.60,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-25-2019,22:00:00,11.1,23.7,1008.45,1007.75,26.6,29.27,0.20,84,0.20,230
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,08-25-2019,22:00:00,0.0,25.1,1008.38,1007.68,26.3,31.96,16.30,93,17.90,000
