WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,LandVisibility,RelativeHumidity,StationPressure
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.66,08-23-2019,16:00:00,0.00,11.1,23.3,180,1006.46,0.00,32.0,10.00,60,1006.19
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.19,08-23-2019,16:00:00,0.00,5.6,23.6,200,1006.78,0.00,30.0,12.00,69,1003.68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.72,08-23-2019,16:00:00,0.00,0.0,24.5,000,1007.03,0.00,29.5,12.00,75,1000.15
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.10,08-23-2019,16:00:00,21.10,0.0,23.6,000,1007.26,22.60,25.2,7.00,91,1001.63
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.79,08-23-2019,16:00:00,0.00,7.4,25.6,230,1007.50,0.00,30.1,10.00,77,998.28
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.29,08-23-2019,16:00:00,0.01,7.4,24.3,270,1007.39,1.60,30.7,12.00,69,1006.14
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.40,08-23-2019,16:00:00,0.00,18.5,23.2,270,1006.18,0.00,33.0,11.00,56,1005.75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.68,08-23-2019,16:00:00,0.00,11.1,23.3,230,1007.03,0.00,31.3,10.00,63,994.95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.85,08-23-2019,16:00:00,0.00,11.1,23.4,250,1006.57,0.00,32.8,10.00,58,1005.87
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.65,08-23-2019,16:00:00,0.00,14.8,23.9,200,1007.90,0.00,30.8,10.00,67,1005.50
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.99,08-23-2019,16:00:00,0.00,14.8,24.6,270,1007.32,0.00,30.2,10.00,72,1006.81
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.80,08-23-2019,16:00:00,0.00,9.3,24.0,200,1006.84,0.01,29.6,11.00,72,1001.73
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.93,08-23-2019,16:00:00,0.00,13.0,25.1,200,1006.88,0.00,31.5,10.00,69,1006.48
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.17,08-23-2019,16:00:00,0.00,7.4,25.8,180,1006.93,0.00,30.0,8.00,78,1004.19
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.08,08-23-2019,16:00:00,0.00,18.5,22.4,270,1007.71,0.00,30.9,10.00,61,1006.94
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.17,08-23-2019,16:00:00,0.00,9.3,25.8,260,1007.26,17.30,30.0,10.00,78,1006.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.22,08-23-2019,16:00:00,0.00,5.6,23.1,300,1008.37,0.60,28.2,8.00,74,1007.69
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.72,08-23-2019,16:00:00,0.00,7.4,24.5,250,1008.70,1.60,27.8,9.00,82,1007.18
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.31,08-23-2019,16:00:00,0.00,7.4,24.3,230,1008.02,8.60,30.0,10.00,71,1007.11
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.73,08-23-2019,16:00:00,0.00,5.6,23.9,280,1008.36,0.00,30.7,12.00,67,1007.68
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.51,08-23-2019,16:00:00,0.00,3.7,24.9,270,1008.70,1.50,30.6,10.00,72,1007.91
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.06,08-23-2019,16:00:00,0.00,7.4,21.1,330,1007.36,0.00,29.8,12.00,60,1006.73
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.73,08-23-2019,16:00:00,0.00,7.4,22.2,320,1007.95,0.00,31.0,10.00,60,1007.55
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.11,08-23-2019,16:00:00,0.00,11.1,22.4,310,1010.10,0.00,31.2,7.00,60,1005.94
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.49,08-23-2019,16:00:00,4.00,0.0,21.4,000,1008.67,8.50,32.5,10.00,52,1007.09
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.95,08-23-2019,16:00:00,0.00,0.0,24.1,000,1008.47,0.00,33.2,12.00,59,1005.06
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.93,08-23-2019,16:00:00,0.00,13.0,21.7,310,1007.62,0.00,32.3,10.00,54,1006.29
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.71,08-23-2019,16:00:00,0.00,0.0,23.9,000,1008.80,27.00,29.7,10.00,71,1007.92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.05,08-23-2019,16:00:00,0.00,0.0,24.1,000,1008.50,17.80,31.0,10.00,67,1004.98
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.72,08-23-2019,16:00:00,0.00,0.0,24.5,000,1009.69,29.00,29.5,10.00,75,1009.26
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.79,08-23-2019,16:00:00,0.00,0.0,24.5,000,1008.22,24.60,30.1,10.00,72,1007.24
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.29,08-23-2019,16:00:00,0.00,7.4,24.8,270,1008.56,42.00,28.8,10.00,79,1007.75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.85,08-23-2019,16:00:00,0.00,7.4,22.9,240,1008.47,1.30,30.3,12.00,65,1006.68
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.12,08-23-2019,16:00:00,0.00,5.6,23.0,200,1007.77,0.00,33.0,11.00,56,1007.03
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.68,08-23-2019,16:00:00,0.40,11.1,25.0,240,1007.87,1.60,29.7,10.00,76,1003.91
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.69,08-23-2019,16:00:00,0.00,7.4,24.5,270,1008.24,0.00,31.6,10.00,66,1007.57
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.33,08-23-2019,16:00:00,0.00,7.4,23.7,190,1007.90,0.00,30.5,12.00,67,1006.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.23,08-23-2019,16:00:00,0.01,11.1,25.3,260,1008.00,0.01,32.2,12.00,67,1005.13
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.24,08-23-2019,16:00:00,0.00,11.1,25.8,250,1007.66,0.00,31.7,6.00,71,1006.98
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.66,08-23-2019,16:00:00,0.00,0.0,23.3,000,1007.45,0.00,32.0,10.00,60,1003.39
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,31.11,08-23-2019,16:00:00,0.00,18.5,24.7,090,1007.32,0.00,32.5,12.00,64,1006.75
