WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,Rainfall24Hr,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,DewPoint,VaporPressure
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,993.90,08-11-2019,04:00:00,92,0.0,0.70,000,1001.17,26.6,7.00,0.10,25.2,31.99
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,982.67,08-11-2019,04:00:00,98,3.7,32.00,240,1002.60,24.9,10.00,2.80,24.6,30.93
48353,LOEI,เลย,เลย,17.45000,101.73333,973.78,08-11-2019,04:00:00,96,0.0,28.60,000,1002.49,24.6,10.00,1.10,23.9,29.59
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,982.31,08-11-2019,04:00:00,98,5.6,23.00,080,1002.48,25.4,10.00,0.00,25.1,31.87
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,981.30,08-11-2019,04:00:00,97,0.0,25.50,000,1003.05,25.2,12.00,0.00,24.6,30.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,983.58,08-11-2019,04:00:00,95,5.6,2.60,160,1003.05,25.9,10.00,0.00,25.0,31.74
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,987.43,08-11-2019,04:00:00,86,3.7,0.10,180,1004.12,26.8,10.00,0.00,24.2,30.18
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,986.36,08-11-2019,04:00:00,92,0.0,1.50,000,1003.73,26.5,10.00,0.00,25.1,31.79
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,976.05,08-11-2019,04:00:00,99,7.4,49.00,090,1001.83,25.1,8.00,0.01,24.9,31.58
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,996.16,08-11-2019,04:00:00,97,0.0,3.50,000,1001.93,26.4,10.00,0.00,25.8,33.27
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,993.62,08-11-2019,04:00:00,97,0.0,0.50,000,999.77,26.8,8.00,0.00,26.2,34.07
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,986.07,08-11-2019,04:00:00,92,0.0,4.40,000,1002.48,26.0,8.00,0.00,24.6,30.84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,977.54,08-11-2019,04:00:00,92,7.4,52.70,210,999.95,23.7,7.00,3.60,22.3,27.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,986.74,08-11-2019,04:00:00,95,0.0,9.00,000,1001.09,25.9,6.00,0.00,25.0,31.74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,984.18,08-11-2019,04:00:00,98,0.0,29.90,000,1000.58,24.7,6.00,0.00,24.4,30.56
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,995.96,08-11-2019,04:00:00,92,7.4,18.50,130,1001.18,25.8,10.00,0.00,24.3,30.46
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,987.59,08-11-2019,04:00:00,93,0.0,5.10,000,1000.73,26.4,10.00,0.20,25.1,31.88
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,991.53,08-11-2019,04:00:00,96,0.0,14.50,000,1000.83,25.9,10.00,0.00,25.2,32.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,984.02,08-11-2019,04:00:00,93,0.0,52.70,000,1001.50,25.6,7.00,0.00,24.3,30.36
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,987.37,08-11-2019,04:00:00,90,7.4,0.20,140,1003.15,26.7,10.00,0.00,25.0,31.63
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,982.81,08-11-2019,04:00:00,93,0.0,19.10,000,1001.68,25.6,8.00,0.00,24.3,30.36
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,951.48,08-11-2019,04:00:00,93,0.0,15.60,000,1002.94,23.0,5.00,1.20,21.8,26.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,997.16,08-11-2019,04:00:00,94,18.5,32.10,110,1001.11,26.1,5.00,0.00,25.1,31.85
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,906.82,08-11-2019,04:00:00,96,9.3,56.80,230,1001.48,21.2,1.50,0.40,20.6,24.22
