WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,AirTemperature,WindSpeed,LandVisibility,VaporPressure,Rainfall,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,62,07-11-2019,22:00:00,1007.45,30.0,0.0,10.00,26.21,0.00,000,21.9,1010.72,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,80,07-11-2019,22:00:00,1009.72,28.5,0.0,10.00,30.98,0.00,000,24.6,1010.83,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,72,07-11-2019,22:00:00,1010.36,29.6,11.1,10.00,29.80,0.00,200,24.0,1010.66,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,74,07-11-2019,22:00:00,1010.11,29.5,5.6,10.00,30.44,0.00,140,24.3,1010.60,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,72,07-11-2019,22:00:00,1009.22,29.6,11.1,10.00,29.80,0.00,190,24.0,1010.62,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,77,07-11-2019,22:00:00,1004.28,27.0,3.7,10.00,27.36,0.00,230,22.6,1012.33,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,68,07-11-2019,22:00:00,1010.24,29.5,0.0,10.00,27.96,0.00,000,22.9,1010.52,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,76,07-11-2019,22:00:00,1007.74,28.8,0.0,10.00,29.90,0.00,000,24.0,1010.86,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,78,07-11-2019,22:00:00,1004.22,28.5,0.0,10.00,30.15,0.00,000,24.2,1011.15,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,74,07-11-2019,22:00:00,1005.25,29.0,0.0,7.00,29.74,0.00,000,23.9,1010.83,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,84,07-11-2019,22:00:00,1010.30,27.5,3.7,10.00,30.97,0.00,180,24.6,1011.56,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,80,07-11-2019,22:00:00,1010.46,29.8,7.4,11.00,33.62,0.00,130,26.0,1010.89,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,77,07-11-2019,22:00:00,999.37,26.8,0.0,8.00,27.00,0.00,000,22.4,1011.69,0.00
