WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-13-2019,19:00:00,33.5,32.91,10.00,200,1007.71,1008.00,11.1,25.6,0.01,0.00,29.6,79
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-13-2019,19:00:00,33.4,32.55,10.00,240,1007.11,1007.79,7.4,25.5,0.00,0.00,29.0,81
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-13-2019,19:00:00,32.8,32.83,10.00,000,1007.27,1007.76,0.0,25.6,0.00,0.00,29.0,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-13-2019,19:00:00,32.2,31.23,10.00,190,1006.39,1007.79,14.8,24.8,0.01,0.00,29.9,74
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-13-2019,19:00:00,30.1,34.81,10.00,220,1006.23,1007.90,27.8,26.6,0.00,0.00,28.0,92
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-13-2019,19:00:00,32.5,32.52,10.00,000,1001.23,1009.22,0.0,25.4,0.90,0.00,28.0,86
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-13-2019,19:00:00,33.0,34.05,10.00,150,1007.17,1007.45,5.6,26.2,0.00,0.00,30.0,80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-13-2019,19:00:00,31.5,32.30,10.00,270,1004.59,1007.70,9.3,25.3,0.00,0.00,29.3,79
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-13-2019,19:00:00,31.1,32.71,10.00,260,1002.80,1009.72,5.6,25.5,0.00,0.00,28.8,83
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-13-2019,19:00:00,34.0,31.55,8.00,230,1002.94,1008.55,9.3,24.9,0.00,0.00,26.8,90
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-13-2019,19:00:00,31.6,32.46,10.00,210,1000.19,1009.46,16.7,25.4,0.00,0.00,29.1,81
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-13-2019,19:00:00,32.8,25.98,10.00,150,1007.01,1008.27,7.4,21.7,0.00,0.00,29.0,65
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-13-2019,19:00:00,33.5,34.31,11.00,350,1007.52,1007.95,3.7,26.3,9.10,8.60,27.9,91
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-13-2019,19:00:00,32.7,29.19,8.00,000,996.23,1008.47,0.0,23.6,0.70,0.00,28.0,77
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-13-2019,19:00:00,33.3,28.78,10.00,200,1007.47,1008.17,5.6,23.4,0.00,0.00,29.5,70
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-13-2019,19:00:00,33.8,31.08,10.00,210,1006.57,1008.99,5.6,24.7,0.00,0.00,29.4,76
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-13-2019,19:00:00,31.1,33.99,10.00,250,1008.17,1008.68,13.0,26.2,0.00,0.00,29.0,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-13-2019,19:00:00,33.2,32.10,13.00,200,1003.56,1008.69,1.9,25.2,0.01,0.01,28.5,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-13-2019,19:00:00,30.8,33.33,7.00,190,1008.25,1008.66,7.4,25.9,5.50,0.00,28.4,86
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-13-2019,19:00:00,29.0,30.02,8.00,000,1006.92,1009.70,0.0,24.1,3.60,0.00,27.0,84
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-13-2019,19:00:00,33.3,27.63,10.00,000,1008.91,1009.69,0.0,22.7,0.00,0.00,27.3,76
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-13-2019,19:00:00,30.5,30.43,8.00,320,1009.30,1009.76,5.6,24.3,14.20,6.00,26.5,88
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-13-2019,19:00:00,31.2,28.39,7.00,000,1009.20,1009.88,0.0,23.2,6.00,0.00,26.7,81
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-13-2019,19:00:00,32.0,28.74,7.00,290,1007.75,1009.28,3.7,23.4,12.60,0.00,26.6,83
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-13-2019,19:00:00,31.0,28.92,9.00,180,1009.33,1010.25,5.6,23.5,24.30,17.70,25.1,91
