WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MinimumTemperature,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall24Hr,AirTemperature
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.4,09-29-2019,07:00:00,26.0,0.00,92,0.0,1.00,32.38,1010.07,1014.05,000,0.00,26.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,17.8,09-29-2019,07:00:00,17.3,0.00,98,0.0,3.00,20.33,919.78,1016.85,000,0.00,18.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,21.5,09-29-2019,07:00:00,22.1,0.00,87,0.0,8.00,25.68,998.86,1015.14,000,0.00,23.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.8,09-29-2019,07:00:00,25.0,0.00,97,0.0,5.00,31.33,1010.38,1014.47,000,0.00,25.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,21.5,09-29-2019,07:00:00,24.3,0.00,81,0.0,7.00,25.68,1004.58,1015.41,000,0.00,25.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.0,09-29-2019,07:00:00,25.2,0.00,89,0.0,6.00,29.76,1012.69,1014.64,000,0.00,26.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,19.6,09-29-2019,07:00:00,22.0,0.00,77,0.0,7.00,22.86,993.67,1014.90,000,0.00,24.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,21.2,09-29-2019,07:00:00,22.1,0.00,88,3.7,7.00,25.11,996.72,1014.74,020,0.00,23.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.2,09-29-2019,07:00:00,23.2,0.00,86,5.6,10.00,25.11,997.99,1014.46,010,0.00,23.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.1,09-29-2019,07:00:00,23.5,0.00,88,0.0,7.00,26.59,999.60,1013.86,000,0.00,24.2
