WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,WindSpeed,StationPressure,RelativeHumidity
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,09-24-2019,13:00:00,1010.70,30.28,0.00,10.00,0.00,24.2,32.8,0.0,1010.27,61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,050,09-24-2019,13:00:00,1009.76,29.22,0.00,8.00,0.00,23.7,32.0,13.0,1008.78,61
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,09-24-2019,13:00:00,1009.54,33.66,0.00,8.00,0.00,26.0,33.0,0.0,1008.74,67
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,060,09-24-2019,13:00:00,1009.66,28.92,0.00,6.00,0.00,23.5,31.0,13.0,1007.87,64
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,250,09-24-2019,13:00:00,1010.41,32.06,0.00,9.00,1.80,25.2,31.7,5.6,1009.67,69
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,090,09-24-2019,13:00:00,1010.07,28.85,4.20,10.00,4.20,23.4,32.8,27.8,1006.14,58
48570,SATUN,สตูล,สตูล,6.65000,100.08333,100,09-24-2019,13:00:00,1009.54,29.99,0.00,8.00,0.00,24.1,32.1,9.3,1008.87,63
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,040,09-24-2019,13:00:00,1009.91,30.13,0.00,10.00,0.00,24.2,30.9,7.4,1008.80,67
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,080,09-24-2019,13:00:00,1010.13,31.93,1.00,8.00,1.00,25.1,31.5,16.7,1007.25,69
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,070,09-24-2019,13:00:00,1009.16,35.60,0.80,8.00,10.00,27.0,32.5,5.6,1008.48,73
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,090,09-24-2019,13:00:00,1010.68,31.76,0.10,5.00,5.00,25.0,31.0,9.3,1006.60,71
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,090,09-24-2019,13:00:00,1010.26,30.90,0.00,10.00,12.50,24.6,31.0,11.1,1009.68,69
