WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,DewPoint,WindDirection,StationPressure,WindSpeed,VaporPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,AirTemperature
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-05-2019,04:00:00,0.00,21.8,000,993.83,0.0,26.09,0.01,86,10.00,1010.78,24.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-05-2019,04:00:00,0.00,22.4,000,993.33,0.0,27.16,0.50,94,10.00,1011.00,23.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-05-2019,04:00:00,0.00,22.9,000,983.00,0.0,27.84,6.20,94,8.00,1009.08,23.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-05-2019,04:00:00,0.10,23.7,290,1004.18,3.7,29.30,2.30,98,10.00,1010.05,24.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-05-2019,04:00:00,0.00,23.9,000,1004.49,0.0,29.66,0.20,98,5.00,1010.76,24.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-05-2019,04:00:00,0.00,23.2,000,993.09,0.0,28.36,0.00,94,7.00,1009.72,24.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-05-2019,04:00:00,0.00,20.7,000,985.21,0.0,24.39,0.30,87,8.00,1007.84,23.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-05-2019,04:00:00,1.20,22.5,000,995.22,0.0,27.33,41.40,96,5.00,1009.82,23.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-05-2019,04:00:00,1.70,20.7,000,993.15,0.0,24.44,26.70,95,7.00,1009.88,21.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-05-2019,04:00:00,0.01,23.4,000,1004.13,0.0,28.72,2.30,92,6.00,1009.41,24.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-05-2019,04:00:00,0.00,23.2,000,995.53,0.0,28.47,0.00,92,7.00,1008.85,24.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-05-2019,04:00:00,3.40,23.6,000,999.61,0.0,29.11,60.80,100,10.00,1009.06,23.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-05-2019,04:00:00,0.00,23.2,270,988.44,1.9,28.42,6.00,98,8.00,1010.45,23.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-05-2019,04:00:00,0.00,22.3,000,991.94,0.0,26.84,0.00,87,8.00,1009.63,24.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-05-2019,04:00:00,0.00,23.8,000,993.03,0.0,29.41,0.00,96,10.00,1009.02,24.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-05-2019,04:00:00,0.00,23.1,000,990.29,0.0,28.25,40.10,98,6.00,1009.44,23.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-05-2019,04:00:00,0.00,20.2,000,959.63,0.0,23.67,0.00,94,5.00,1011.83,21.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-05-2019,04:00:00,0.00,23.1,080,1005.29,7.4,28.20,0.20,92,3.00,1009.29,24.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-05-2019,04:00:00,1.50,18.0,000,913.84,0.0,20.68,17.00,96,2.00,1010.08,18.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-05-2019,04:00:00,0.00,23.5,000,994.09,0.0,28.96,8.10,97,6.00,1010.29,24.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-05-2019,04:00:00,0.00,23.2,050,1005.60,1.9,28.47,0.30,92,7.00,1009.68,24.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-05-2019,04:00:00,0.00,23.7,010,1000.17,3.7,29.26,0.10,92,5.00,1010.95,25.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-05-2019,04:00:00,0.00,23.6,000,1008.22,0.0,29.08,0.00,84,9.00,1010.16,26.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-05-2019,04:00:00,0.00,22.1,000,988.39,0.0,26.52,0.00,84,10.00,1009.45,24.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-05-2019,04:00:00,0.00,23.7,000,992.04,0.0,29.31,0.00,97,8.00,1009.91,24.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-05-2019,04:00:00,0.00,24.2,000,993.49,0.0,30.12,0.00,97,8.00,1009.83,24.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-05-2019,04:00:00,0.01,21.2,000,996.68,0.0,25.11,3.80,89,10.00,1010.95,23.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-05-2019,04:00:00,0.00,21.7,000,996.18,0.0,26.01,8.00,95,7.00,1011.30,22.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-05-2019,04:00:00,0.01,24.9,000,996.12,0.0,31.55,0.01,95,7.00,1010.90,25.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-05-2019,04:00:00,0.00,23.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1006.59,0.0,29.21,0.00,89,8.00,1009.63,25.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-05-2019,04:00:00,0.00,22.9,000,1001.56,0.0,27.90,0.00,85,7.00,1009.56,25.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-05-2019,04:00:00,0.00,24.3,000,1008.29,0.0,30.40,0.00,89,7.00,1009.41,26.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-05-2019,04:00:00,0.00,24.6,000,994.35,0.0,31.00,0.00,93,8.00,1009.13,25.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-05-2019,04:00:00,0.00,17.5,000,875.53,0.0,20.02,40.40,99,.10,1011.95,17.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-05-2019,04:00:00,0.00,22.8,000,1004.03,0.0,27.78,0.00,90,6.00,1009.97,24.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-05-2019,04:00:00,0.00,24.4,000,1008.86,0.0,30.50,31.40,96,8.00,1009.67,25.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-05-2019,04:00:00,0.00,25.0,000,1008.63,0.0,31.66,0.00,89,8.00,1009.08,27.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-05-2019,04:00:00,0.00,23.6,000,998.63,0.0,29.15,0.40,95,5.00,1010.06,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-05-2019,04:00:00,0.00,23.1,000,1008.91,0.0,28.18,0.00,84,6.00,1009.93,26.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-05-2019,04:00:00,0.00,24.4,000,1007.63,0.0,30.51,0.00,89,7.00,1009.47,26.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-05-2019,04:00:00,0.00,23.8,000,1008.97,0.0,29.41,0.00,96,3.00,1009.74,24.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-05-2019,04:00:00,0.00,24.6,040,1008.94,3.7,30.94,0.50,91,9.00,1009.65,26.2
