WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure,StationPressure,RelativeHumidity,AirTemperature
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-21-2019,10:00:00,000,1005.83,0.00,7.00,0.0,25.3,28.80,32.28,970.54,87,27.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-21-2019,10:00:00,100,1005.47,0.00,15.00,3.7,25.2,5.20,32.12,975.94,86,27.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-21-2019,10:00:00,000,1005.61,0.00,10.00,0.0,24.7,0.00,31.13,998.36,78,29.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-21-2019,10:00:00,050,1006.82,0.90,5.00,7.4,24.8,76.70,31.33,986.83,97,25.4
48353,LOEI,เลย,เลย,17.45000,101.73333,08-21-2019,10:00:00,140,1005.78,0.00,14.00,5.6,24.3,16.60,30.31,977.32,79,28.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-21-2019,10:00:00,290,1006.41,0.00,9.00,3.7,24.4,39.00,30.56,986.26,86,27.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-21-2019,10:00:00,000,1007.69,1.00,8.00,0.0,24.6,42.90,30.84,985.90,92,26.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-21-2019,10:00:00,200,1006.30,0.50,7.00,3.7,24.1,25.70,29.99,986.74,92,25.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-21-2019,10:00:00,000,1007.55,0.01,10.00,0.0,24.2,3.80,30.12,990.82,84,27.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-21-2019,10:00:00,000,1007.74,0.10,9.00,0.0,24.8,6.80,31.27,990.32,89,26.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-21-2019,10:00:00,140,1005.15,0.00,12.00,5.6,24.3,0.00,30.28,979.53,80,28.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-21-2019,10:00:00,000,1006.10,0.00,10.00,0.0,25.9,0.60,33.33,1000.37,79,29.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-21-2019,10:00:00,000,1005.94,0.00,12.00,0.0,25.8,0.00,33.12,999.81,79,29.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-21-2019,10:00:00,000,1007.23,0.00,10.00,0.0,23.2,4.00,28.37,990.90,71,29.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-21-2019,10:00:00,180,1004.54,0.00,10.00,7.4,22.6,0.50,27.36,982.28,77,27.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-21-2019,10:00:00,220,1006.18,0.00,9.00,5.6,24.0,0.30,29.89,991.97,68,30.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-21-2019,10:00:00,120,1005.33,0.00,8.00,7.4,24.2,3.00,30.26,989.16,70,30.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-21-2019,10:00:00,200,1006.57,0.00,10.00,5.6,24.5,0.00,30.70,1001.38,79,28.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-21-2019,10:00:00,180,1005.22,0.00,12.00,3.7,24.8,4.50,31.36,992.07,84,27.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-21-2019,10:00:00,070,1006.24,0.00,11.00,5.6,24.4,0.00,30.62,996.98,78,28.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-21-2019,10:00:00,230,1006.09,0.00,10.00,11.1,23.4,0.00,28.86,984.60,70,29.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-21-2019,10:00:00,000,1005.88,0.00,10.00,0.0,24.4,35.20,30.57,988.52,76,29.0
