WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,StationPressure,AirTemperature,VaporPressure,LandVisibility,WindDirection,Rainfall24Hr,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.4,10-03-2019,10:00:00,23.7,1011.05,31.2,29.32,12.00,270,0.00,65,0.00,1011.67
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-03-2019,10:00:00,25.3,1011.72,32.2,32.23,15.00,000,0.00,67,0.00,1012.12
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-03-2019,10:00:00,23.4,1010.03,30.2,28.75,6.00,000,0.90,67,0.00,1014.22
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-03-2019,10:00:00,24.5,1011.15,28.1,30.75,12.00,000,0.80,81,0.00,1012.76
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-03-2019,10:00:00,25.2,1008.96,29.5,32.13,10.00,000,0.30,78,0.00,1012.42
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,5.6,10-03-2019,10:00:00,23.1,1011.02,30.7,28.34,10.00,180,0.00,64,0.00,1012.36
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,11.1,10-03-2019,10:00:00,25.6,1011.70,28.4,32.75,10.00,240,2.40,85,0.00,1012.58
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-03-2019,10:00:00,24.1,1009.44,29.6,30.08,10.00,000,5.90,73,0.00,1012.99
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,10-03-2019,10:00:00,24.3,1012.01,30.7,30.29,10.00,000,3.20,69,0.00,1012.44
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.6,10-03-2019,10:00:00,24.5,1011.24,29.1,30.77,10.00,280,8.40,76,0.00,1012.23
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,10-03-2019,10:00:00,26.7,1012.23,29.8,35.10,12.00,240,0.20,84,0.00,1013.04
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.4,10-03-2019,10:00:00,25.2,1011.01,29.5,32.13,12.00,090,2.70,78,0.00,1012.82
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.3,10-03-2019,10:00:00,23.4,1011.90,30.2,28.75,12.00,230,0.00,67,0.00,1012.65
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,10-03-2019,10:00:00,24.1,1008.69,29.7,29.99,10.00,200,5.60,72,0.00,1012.68
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-03-2019,10:00:00,24.7,1012.45,30.5,31.03,10.00,000,20.40,71,0.00,1013.13
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,10-03-2019,10:00:00,25.0,1011.17,31.1,31.68,10.00,000,73.20,70,0.00,1012.28
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.4,10-03-2019,10:00:00,25.4,1009.85,30.8,32.51,10.00,240,0.80,73,0.00,1012.75
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,10-03-2019,10:00:00,24.8,1011.52,28.8,31.29,11.00,000,0.00,79,0.00,1012.21
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,10-03-2019,10:00:00,23.6,1009.10,29.1,29.11,7.00,000,38.70,72,0.00,1013.22
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,10-03-2019,10:00:00,19.7,1012.70,31.5,22.88,10.00,000,0.00,50,0.00,1013.28
