WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,LandVisibility,MinimumTemperature,DewPoint,RelativeHumidity,WindDirection,StationPressure,Rainfall24Hr,AirTemperature,VaporPressure,Rainfall
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,07-13-2019,07:00:00,1009.33,10.00,26.0,23.8,81,180,1004.10,0.00,27.3,29.50,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-13-2019,07:00:00,1008.13,10.00,24.7,23.9,92,000,994.85,10.40,25.4,29.72,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,07-13-2019,07:00:00,1009.24,10.00,26.2,22.8,79,270,999.89,0.00,26.8,27.78,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,07-13-2019,07:00:00,1007.89,9.00,26.5,23.2,79,200,986.20,0.70,27.2,28.51,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,07-13-2019,07:00:00,1007.76,12.00,27.0,24.6,84,230,990.28,0.00,27.5,30.97,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,07-13-2019,07:00:00,1007.75,10.00,27.0,23.3,77,190,991.94,0.00,27.7,28.63,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,13.0,07-13-2019,07:00:00,1006.83,10.00,27.5,24.3,80,190,988.02,0.00,28.0,30.28,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-13-2019,07:00:00,1013.08,7.00,22.1,22.0,94,000,961.12,0.00,23.1,26.50,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,07-13-2019,07:00:00,1009.02,6.00,26.0,24.9,90,000,1005.06,0.00,26.8,31.55,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.1,07-13-2019,07:00:00,1010.64,6.00,20.0,20.1,94,220,915.11,0.40,21.2,23.52,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,9.3,07-13-2019,07:00:00,1007.50,10.00,28.1,24.3,76,210,991.61,0.00,28.9,30.37,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-13-2019,07:00:00,1008.75,8.00,26.0,26.2,98,000,1004.70,16.70,26.5,34.03,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-13-2019,07:00:00,1010.35,8.00,26.3,24.1,84,000,999.64,0.00,27.0,30.02,0.00
