WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,MinimumTemperature,VaporPressure,DewPoint,Rainfall,AirTemperature,StationPressure,WindSpeed,LandVisibility,RelativeHumidity,Rainfall24Hr,WindDirection
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1011.78,09-19-2019,07:00:00,18.9,20.13,17.6,0.00,19.9,915.75,0.0,5.00,87,9.80,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1010.16,09-19-2019,07:00:00,25.0,29.15,23.6,0.00,26.1,994.07,0.0,8.00,86,0.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.24,09-19-2019,07:00:00,24.3,30.85,24.6,0.00,25.0,1006.16,0.0,6.00,97,11.20,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1011.37,09-19-2019,07:00:00,24.4,29.33,23.7,7.10,24.6,1000.56,0.0,5.00,95,7.10,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.26,09-19-2019,07:00:00,24.5,27.70,22.8,0.00,25.0,1008.31,0.0,7.00,88,16.10,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.77,09-19-2019,07:00:00,24.6,26.58,22.1,0.00,27.0,988.86,5.6,10.00,75,0.00,080
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1009.88,09-19-2019,07:00:00,25.4,27.25,22.5,0.00,26.5,992.14,16.7,10.00,79,0.00,080
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1009.69,09-19-2019,07:00:00,26.3,27.95,22.9,0.00,26.6,993.47,5.6,10.00,80,0.10,030
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1010.48,09-19-2019,07:00:00,24.8,28.59,23.3,0.00,25.5,996.33,5.6,10.00,88,2.20,110
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1010.80,09-19-2019,07:00:00,24.3,29.77,24.0,0.00,24.7,995.80,0.0,9.00,96,4.30,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1010.06,09-19-2019,07:00:00,24.5,30.87,24.6,0.00,25.3,995.26,3.7,7.00,96,1.20,160
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.38,09-19-2019,07:00:00,23.2,29.69,23.9,0.00,24.8,1006.33,0.0,10.00,95,30.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1010.15,09-19-2019,07:00:00,26.0,31.79,25.1,0.00,26.5,1002.16,0.0,10.00,92,7.30,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.83,09-19-2019,07:00:00,25.0,30.84,24.6,0.00,26.0,1008.72,0.0,8.00,92,0.00,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1009.62,09-19-2019,07:00:00,24.6,31.08,24.7,0.00,25.7,994.83,0.0,8.00,94,1.80,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1010.60,09-19-2019,07:00:00,19.1,22.83,19.6,0.00,20.1,875.39,0.0,8.00,97,1.80,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1010.11,09-19-2019,07:00:00,24.4,31.25,24.8,9.80,25.5,1004.19,0.0,5.00,96,9.80,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.77,09-19-2019,07:00:00,25.0,32.32,25.3,0.00,26.2,1008.97,1.9,8.00,95,27.50,030
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.54,09-19-2019,07:00:00,25.5,29.91,24.0,0.10,25.5,1009.09,0.0,7.00,92,24.70,000
