WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,WindSpeed,WindDirection,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,MinimumTemperature,RelativeHumidity,LandVisibility
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-04-2019,07:00:00,1011.40,24.2,26.2,5.6,110,993.77,0.00,30.13,0.00,24.4,89,4.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-04-2019,07:00:00,1011.49,22.7,25.1,3.7,300,995.49,0.00,27.62,0.00,24.5,87,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-04-2019,07:00:00,1010.06,24.8,25.5,1.9,170,991.03,0.00,31.25,0.00,24.4,96,4.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-04-2019,07:00:00,1012.86,20.5,21.9,0.0,000,960.70,0.00,24.11,0.00,21.2,92,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-04-2019,07:00:00,1010.15,25.9,26.8,0.0,000,1006.18,0.00,33.50,0.00,26.2,95,.80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-04-2019,07:00:00,1011.84,20.2,21.0,5.6,220,916.14,6.00,23.69,0.00,17.2,95,2.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-04-2019,07:00:00,1011.25,25.5,26.4,0.0,000,995.17,0.00,32.71,0.00,25.0,95,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-04-2019,07:00:00,1010.80,24.6,25.3,0.0,000,1006.73,5.90,30.87,0.00,24.7,96,4.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-04-2019,07:00:00,1011.74,24.3,25.0,0.0,000,1000.94,0.00,30.32,0.00,24.5,96,6.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-04-2019,07:00:00,1010.85,24.1,25.6,0.0,000,1008.90,0.00,30.09,0.00,25.1,92,8.00
