WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,StationPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.10,07-23-2019,10:00:00,25.9,32.2,1003.28,5.6,10.00,1007.24,70,210,33.42,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-23-2019,10:00:00,24.1,32.0,997.94,5.6,10.00,1008.45,63,220,30.08,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,07-23-2019,10:00:00,24.7,30.5,1005.99,0.0,12.00,1007.90,71,000,31.03,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-23-2019,10:00:00,23.8,31.3,986.14,9.3,10.00,1006.70,65,240,29.52,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-23-2019,10:00:00,24.9,29.9,989.06,11.1,10.00,1006.55,75,210,31.52,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.10,07-23-2019,10:00:00,25.8,30.0,990.81,5.6,10.00,1006.81,78,260,33.17,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,15.20,07-23-2019,10:00:00,24.6,30.0,993.47,5.6,10.00,1007.37,73,220,30.87,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.80,07-23-2019,10:00:00,25.2,29.5,993.25,0.0,10.00,1007.96,78,000,32.13,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.80,07-23-2019,10:00:00,25.6,30.4,993.05,11.1,8.00,1007.56,76,220,32.84,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.40,07-23-2019,10:00:00,22.9,32.2,1003.72,0.0,10.00,1006.69,58,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.94,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-23-2019,10:00:00,24.4,31.5,999.33,0.0,10.00,1007.16,66,000,30.49,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-23-2019,10:00:00,23.5,30.4,1007.13,14.8,8.00,1008.23,66,190,28.86,0.00
