WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,AirTemperature,StationPressure,Rainfall,WindSpeed,DewPoint,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,6.50,09-24-2019,04:00:00,8.00,120,25.1,1011.57,0.00,3.7,23.9,29.70,93,1012.02
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-24-2019,04:00:00,4.00,000,24.0,1001.11,0.00,0.0,22.5,27.25,91,1012.59
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1.40,09-24-2019,04:00:00,6.00,000,25.0,1012.19,0.00,0.0,24.7,31.12,98,1013.22
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.40,09-24-2019,04:00:00,6.00,000,25.3,1011.26,0.00,0.0,24.4,30.60,95,1013.11
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.40,09-24-2019,04:00:00,5.00,000,24.6,1011.54,0.00,0.0,23.7,29.33,95,1012.31
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,2.60,09-24-2019,04:00:00,10.00,080,24.2,1011.82,0.00,3.7,23.5,28.88,96,1012.54
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.40,09-24-2019,04:00:00,7.00,000,25.8,1011.58,0.00,0.0,24.9,31.55,95,1012.29
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,4.30,09-24-2019,04:00:00,8.00,000,25.0,992.34,0.00,0.0,22.2,26.69,84,1013.77
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,4.10,09-24-2019,04:00:00,6.00,000,23.9,996.48,0.00,0.0,21.8,26.09,88,1013.48
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.20,09-24-2019,04:00:00,6.00,040,23.2,997.39,0.00,3.7,21.4,25.44,90,1014.15
