WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,WindDirection,MeanSeaLevelPressure,StationPressure,VaporPressure,LandVisibility,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.2,10-09-2019,16:00:00,0.00,000,1008.93,981.79,29.88,10.00,0.0,0.60,66,24.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,33.0,10-09-2019,16:00:00,0.00,090,1006.86,974.04,25.63,15.00,7.4,0.00,51,21.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.0,10-09-2019,16:00:00,0.00,250,1007.24,989.12,28.40,10.00,5.6,0.00,56,23.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,34.5,10-09-2019,16:00:00,0.00,260,1007.51,985.27,28.88,10.00,7.4,0.00,53,23.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,34.5,10-09-2019,16:00:00,0.00,000,1009.58,980.40,27.17,12.00,0.0,0.00,50,22.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.8,10-09-2019,16:00:00,0.00,000,1007.42,972.55,28.82,8.00,0.0,0.00,61,23.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.0,10-09-2019,16:00:00,0.00,000,1007.89,978.50,30.59,17.00,0.0,0.10,72,24.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.6,10-09-2019,16:00:00,0.00,000,1007.51,1000.39,27.65,9.00,0.0,7.70,50,22.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.5,10-09-2019,16:00:00,0.00,090,1007.67,988.19,30.28,8.00,3.7,10.40,59,24.2
48353,LOEI,เลย,เลย,17.45000,101.73333,30.1,10-09-2019,16:00:00,0.00,000,1008.54,980.17,27.74,15.00,0.0,0.00,65,22.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.1,10-09-2019,16:00:00,0.00,010,1007.97,988.20,26.92,18.00,5.6,0.00,53,22.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,33.6,10-09-2019,16:00:00,0.00,100,1008.33,987.06,30.20,12.00,7.4,0.00,58,24.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,33.0,10-09-2019,16:00:00,0.00,160,1007.47,988.37,27.28,15.00,5.6,0.01,54,22.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.0,10-09-2019,16:00:00,0.00,010,1008.71,992.17,27.82,13.00,5.6,0.20,62,22.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.9,10-09-2019,16:00:00,0.00,090,1008.42,991.33,27.92,12.00,5.6,0.00,56,22.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.0,10-09-2019,16:00:00,0.00,040,1007.41,982.06,28.38,12.00,3.7,0.00,60,23.2
