WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,DewPoint,AirTemperature,WindSpeed
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-17-2019,13:00:00,000,25.82,1006.90,48,0.01,12.00,990.55,21.6,34.1,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-17-2019,13:00:00,180,27.43,1007.36,53,0.00,10.00,990.32,22.6,33.5,9.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-17-2019,13:00:00,030,27.43,1005.61,53,0.00,15.00,980.43,22.6,33.5,5.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-17-2019,13:00:00,000,35.46,1006.90,67,1.70,10.00,1001.24,26.9,33.8,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-17-2019,13:00:00,000,35.23,1006.74,67,0.00,12.00,1000.68,26.8,33.7,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-17-2019,13:00:00,270,27.61,1006.91,49,0.00,12.00,990.90,22.7,35.0,5.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-17-2019,13:00:00,000,31.52,1005.19,66,0.00,12.00,983.28,24.9,32.0,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-17-2019,13:00:00,110,29.88,1007.10,54,0.00,8.00,993.07,24.0,34.7,5.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-17-2019,13:00:00,000,27.44,1006.84,48,0.00,12.00,990.90,22.6,35.2,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-17-2019,13:00:00,340,30.88,1007.19,57,0.00,10.00,1002.08,24.6,34.2,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-17-2019,13:00:00,050,30.52,1005.09,54,0.00,12.00,992.26,24.4,35.0,5.6
