WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,LandVisibility,AirTemperature,RelativeHumidity,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindDirection
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,10-07-2019,22:00:00,30.70,1012.09,7.00,26.5,89,0.00,24.5,1008.78,10.90,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,10-07-2019,22:00:00,31.38,1012.53,10.00,27.0,88,0.00,24.8,1011.41,2.50,090
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.7,10-07-2019,22:00:00,30.84,1012.41,8.00,26.0,92,4.70,24.6,1012.10,4.70,030
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,10-07-2019,22:00:00,30.18,1011.96,8.00,26.8,86,4.30,24.2,1011.47,4.30,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,13.0,10-07-2019,22:00:00,29.01,1012.65,9.00,25.3,90,1.40,23.5,1011.23,1.40,100
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-07-2019,22:00:00,28.77,1014.03,.80,23.7,98,9.60,23.4,1005.88,45.60,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.7,10-07-2019,22:00:00,28.51,1011.92,4.00,25.6,87,0.00,23.2,1011.63,3.70,060
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,10-07-2019,22:00:00,30.02,1011.65,10.00,27.0,84,0.00,24.1,1008.51,0.00,210
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,10-07-2019,22:00:00,31.27,1011.56,10.00,26.8,89,0.00,24.8,1004.58,0.00,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-07-2019,22:00:00,30.51,1012.43,9.00,26.4,89,0.00,24.4,1006.80,0.00,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,10-07-2019,22:00:00,31.35,1012.64,10.00,26.7,90,0.00,24.8,1011.37,0.00,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,10-07-2019,22:00:00,32.55,1011.87,11.00,29.0,81,0.00,25.5,1011.43,3.50,160
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-07-2019,22:00:00,31.08,1012.24,8.00,25.7,94,0.00,24.7,999.87,0.50,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,10-07-2019,22:00:00,31.95,1011.81,8.00,28.0,85,0.00,25.1,1011.09,0.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,10-07-2019,22:00:00,30.97,1011.76,9.00,26.5,89,0.00,24.6,1009.31,0.00,330
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,10-07-2019,22:00:00,31.85,1011.96,10.00,27.1,89,0.00,25.1,1011.44,0.30,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,10-07-2019,22:00:00,30.81,1011.87,6.00,26.7,88,0.00,24.5,1006.69,28.80,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,10-07-2019,22:00:00,30.07,1012.14,7.00,25.3,93,0.00,24.1,1011.72,17.30,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-07-2019,22:00:00,29.25,1012.32,8.00,24.7,94,0.00,23.7,1009.51,0.70,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-07-2019,22:00:00,29.89,1014.79,10.00,30.5,68,0.00,24.0,1014.01,0.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,10-07-2019,22:00:00,29.52,1012.26,6.00,25.0,93,0.00,23.8,1011.80,8.50,050
