WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,DewPoint
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.22,08-17-2019,04:00:00,30.82,0.0,78,1005.93,0.00,28.7,0.00,10.00,000,24.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.07,08-17-2019,04:00:00,30.82,0.0,78,1005.59,0.00,28.7,0.00,10.00,000,24.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.75,08-17-2019,04:00:00,31.44,11.1,85,1005.35,12.60,27.6,0.00,10.00,200,24.9
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1009.07,08-17-2019,04:00:00,31.08,0.0,94,1001.01,0.60,25.7,0.00,10.00,000,24.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.72,08-17-2019,04:00:00,32.88,3.7,84,1006.43,0.60,28.6,0.00,10.00,180,25.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.48,08-17-2019,04:00:00,31.29,0.0,79,1003.37,0.00,28.8,0.00,10.00,000,24.8
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.17,08-17-2019,04:00:00,30.56,9.3,81,1000.25,0.00,28.0,0.00,10.00,240,24.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.97,08-17-2019,04:00:00,30.02,0.0,84,1001.37,0.10,27.0,0.10,8.00,000,24.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.64,08-17-2019,04:00:00,30.32,7.4,96,1006.36,5.00,25.0,1.70,10.00,210,24.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.99,08-17-2019,04:00:00,30.43,5.6,88,1006.56,12.60,26.5,0.40,11.00,210,24.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.07,08-17-2019,04:00:00,29.46,0.0,91,994.75,0.00,25.4,0.00,8.00,000,23.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.89,08-17-2019,04:00:00,29.62,0.0,86,1006.18,1.00,26.5,0.00,10.00,000,23.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.97,08-17-2019,04:00:00,30.07,11.1,77,1004.55,0.01,28.6,0.00,10.00,210,24.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.08,08-17-2019,04:00:00,32.26,20.4,81,1006.56,0.00,29.0,0.00,10.00,230,25.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.05,08-17-2019,04:00:00,30.64,3.7,82,1001.91,0.00,27.9,0.00,8.00,240,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.23,08-17-2019,04:00:00,32.89,0.0,91,1006.81,1.80,27.2,0.80,7.00,000,25.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.56,08-17-2019,04:00:00,32.77,0.0,92,1004.79,0.40,27.0,0.40,8.00,000,25.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.05,08-17-2019,04:00:00,27.93,7.4,82,1007.26,0.00,26.3,0.00,10.00,300,22.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.79,08-17-2019,04:00:00,32.43,0.0,94,1007.33,24.90,26.4,7.80,5.00,000,25.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.99,08-17-2019,04:00:00,30.32,0.0,96,1007.30,10.80,25.0,0.00,7.00,000,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.16,08-17-2019,04:00:00,29.36,0.0,92,1006.62,5.40,25.2,0.20,7.00,000,23.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.77,08-17-2019,04:00:00,29.97,3.7,94,1007.84,107.80,25.1,17.00,10.00,270,24.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.67,08-17-2019,04:00:00,29.44,0.0,79,1007.99,0.00,27.7,0.00,10.00,000,23.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.84,08-17-2019,04:00:00,29.74,3.7,99,1008.03,0.40,24.1,0.00,7.00,210,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.34,08-17-2019,04:00:00,29.61,0.0,94,1007.71,0.01,24.9,0.00,10.00,000,23.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.50,08-17-2019,04:00:00,30.32,0.0,96,1008.09,0.00,25.0,0.00,10.00,000,24.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.41,08-17-2019,04:00:00,30.18,0.0,86,1006.18,0.00,26.8,0.00,5.00,000,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.48,08-17-2019,04:00:00,29.30,0.0,98,1007.85,9.70,24.0,0.00,10.00,000,23.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.99,08-17-2019,04:00:00,28.18,0.0,96,1006.47,4.40,23.8,0.00,10.00,000,23.1
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.15,08-17-2019,04:00:00,29.41,0.0,96,1007.78,2.50,24.5,0.00,8.00,000,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.08,08-17-2019,04:00:00,31.49,7.4,87,1008.19,23.80,27.2,0.00,10.00,240,24.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.59,08-17-2019,04:00:00,29.74,0.0,99,1005.99,71.00,24.1,2.30,10.00,000,23.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.45,08-17-2019,04:00:00,30.46,0.0,92,1008.02,19.60,25.8,3.40,10.00,000,24.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.45,08-17-2019,04:00:00,31.39,9.3,83,1006.46,4.80,28.0,1.50,10.00,160,24.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.40,08-17-2019,04:00:00,33.66,24.1,89,1008.58,33.00,28.0,1.60,10.00,260,26.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.18,08-17-2019,04:00:00,29.67,0.0,97,1007.35,64.50,24.5,0.00,8.00,000,23.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.91,08-17-2019,04:00:00,28.85,3.7,88,1009.15,0.01,25.5,0.00,10.00,220,23.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.78,08-17-2019,04:00:00,28.10,3.7,93,1005.74,2.60,24.2,0.00,10.00,120,23.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.43,08-17-2019,04:00:00,27.95,0.0,90,1008.74,13.70,24.7,0.00,10.00,000,22.9
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.27,08-17-2019,04:00:00,30.98,0.0,95,1008.14,10.80,25.5,0.00,10.00,000,24.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.82,08-17-2019,04:00:00,29.77,0.0,96,1006.87,3.70,24.7,0.00,10.00,000,24.0
