WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,RelativeHumidity,WindDirection,DewPoint,StationPressure,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.9,10-05-2019,10:00:00,0.00,31.23,74,050,24.8,1011.26,0.50,8.00,3.7,1011.96
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.2,10-05-2019,10:00:00,0.00,30.45,67,150,24.3,1011.17,0.00,7.00,3.7,1011.87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.5,10-05-2019,10:00:00,0.01,29.60,81,000,23.9,991.34,0.01,7.00,0.0,1012.57
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.0,10-05-2019,10:00:00,1.40,30.29,85,000,24.3,996.18,1.40,8.00,0.0,1012.99
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.5,10-05-2019,10:00:00,1.20,30.97,89,000,24.6,997.03,1.20,9.00,0.0,1013.59
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.0,10-05-2019,10:00:00,0.00,29.74,79,000,23.9,990.77,0.00,6.00,0.0,1012.67
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.8,10-05-2019,10:00:00,0.00,26.18,70,070,21.8,968.92,0.01,8.00,11.1,1012.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.5,10-05-2019,10:00:00,0.00,30.72,75,030,24.5,992.20,0.40,10.00,9.3,1012.70
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.7,10-05-2019,10:00:00,3.50,31.92,86,190,25.1,994.33,3.90,7.00,9.3,1015.26
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.0,10-05-2019,10:00:00,0.00,30.90,69,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.6,1011.66,0.00,10.00,0.0,1012.09
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.0,10-05-2019,10:00:00,0.00,31.72,75,000,25.0,1010.26,15.40,11.00,0.0,1011.67
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.1,10-05-2019,10:00:00,0.00,32.18,80,000,25.3,1006.98,17.90,9.00,0.0,1011.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.8,10-05-2019,10:00:00,0.00,28.80,69,020,23.4,1009.27,7.20,10.00,3.7,1012.55
