WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,StationPressure,VaporPressure,WindDirection
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.1,09-25-2019,04:00:00,0.0,87,0.00,25.5,0.00,1013.08,3.00,1012.31,28.33,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.6,09-25-2019,04:00:00,5.6,84,0.00,25.6,0.00,1012.70,8.00,1011.99,27.47,010
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,22.9,09-25-2019,04:00:00,0.0,82,0.00,26.1,0.00,1012.36,7.00,1011.65,27.83,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.1,09-25-2019,04:00:00,0.0,91,0.00,24.7,0.00,1014.41,7.00,992.94,28.21,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,21.7,09-25-2019,04:00:00,0.0,87,0.00,24.0,0.00,1013.72,6.00,996.73,26.01,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,21.4,09-25-2019,04:00:00,5.6,90,0.00,23.2,0.00,1014.63,6.00,997.87,25.44,360
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,20.7,09-25-2019,04:00:00,0.0,82,0.00,23.9,0.00,1014.28,6.00,992.04,24.38,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.9,09-25-2019,04:00:00,18.5,83,0.00,24.0,0.00,1013.93,7.00,969.97,24.78,060
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.0,09-25-2019,04:00:00,3.7,91,0.00,23.5,0.00,1013.81,7.00,992.87,26.42,340
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,22.0,09-25-2019,04:00:00,7.4,95,0.00,22.9,0.00,1015.63,6.00,994.35,26.41,030
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.3,09-25-2019,04:00:00,5.6,96,0.00,25.0,2.00,1012.36,9.00,1011.93,30.32,330
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,21.7,09-25-2019,04:00:00,3.7,80,0.00,25.5,0.80,1012.47,6.00,1011.04,26.02,100
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.4,09-25-2019,04:00:00,0.0,97,0.00,25.0,0.00,1012.53,7.00,1007.54,30.58,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.3,09-25-2019,04:00:00,0.0,88,0.00,25.5,0.00,1013.12,7.00,1009.80,28.59,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.3,09-25-2019,04:00:00,0.0,98,0.00,25.6,0.30,1013.06,5.00,1011.94,32.26,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.1,09-25-2019,04:00:00,0.0,84,0.00,27.0,0.00,1012.55,10.00,1012.25,30.02,000
