WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure,WindDirection,RelativeHumidity
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-16-2019,16:00:00,982.97,23.3,10.00,1003.41,0.00,9.3,32.0,28.66,160,60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-16-2019,16:00:00,986.01,23.9,11.00,1003.29,0.00,5.6,32.6,29.58,080,60
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-16-2019,16:00:00,987.38,23.2,10.00,1003.17,0.00,9.3,33.0,28.40,350,56
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-16-2019,16:00:00,989.80,24.1,10.00,1003.58,0.00,0.0,31.4,30.00,000,65
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-16-2019,16:00:00,989.66,24.1,10.00,1004.20,0.00,0.0,32.0,30.08,000,63
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-16-2019,16:00:00,989.63,24.6,10.00,1004.04,0.00,9.3,31.6,30.98,040,67
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.60,09-16-2019,16:00:00,1001.02,25.5,10.00,1004.01,0.60,0.0,28.9,32.63,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",82
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-16-2019,16:00:00,995.49,24.6,10.00,1003.24,0.00,0.0,33.4,30.95,000,60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,13.70,09-16-2019,16:00:00,1003.53,25.6,7.00,1004.63,13.70,0.0,27.7,32.76,000,88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-16-2019,16:00:00,989.50,27.0,8.00,1003.88,16.00,0.0,32.4,35.68,000,73
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,3.20,09-16-2019,16:00:00,871.17,20.0,7.00,1005.25,5.40,0.0,21.1,23.37,000,93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-16-2019,16:00:00,997.44,24.8,10.00,1003.16,0.00,0.0,34.0,31.34,000,59
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1.20,09-16-2019,16:00:00,1003.92,25.4,.50,1004.72,25.90,9.3,26.1,32.40,330,96
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.20,09-16-2019,16:00:00,1003.89,24.5,10.00,1004.33,12.50,7.4,29.5,30.72,210,75
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.20,09-16-2019,16:00:00,993.10,24.4,10.00,1004.27,5.50,0.0,29.8,30.47,000,73
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-16-2019,16:00:00,1002.86,25.0,12.00,1003.85,0.00,3.7,33.6,31.67,130,61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,39.40,09-16-2019,16:00:00,1002.42,24.7,7.00,1004.24,86.30,0.0,25.7,31.08,000,94
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-16-2019,16:00:00,1002.64,22.1,11.00,1003.38,0.40,0.0,34.6,26.52,000,48
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.00,09-16-2019,16:00:00,1003.83,24.9,7.00,1004.53,24.40,7.4,27.6,31.44,220,85
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-16-2019,16:00:00,1002.98,24.6,10.00,1003.68,11.00,3.7,29.5,31.00,340,75
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-16-2019,16:00:00,982.86,24.7,12.00,1003.54,0.00,7.4,32.9,31.07,090,62
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-16-2019,16:00:00,987.46,23.8,11.00,1003.91,0.20,5.6,31.0,29.48,340,66
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-16-2019,16:00:00,988.57,23.6,10.00,1004.69,0.20,3.7,32.2,29.06,350,60
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-16-2019,16:00:00,982.07,24.7,10.00,1003.46,0.00,9.3,32.5,31.11,300,64
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.60,09-16-2019,16:00:00,961.21,24.4,10.00,1004.19,12.60,29.6,28.0,30.56,250,81
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-16-2019,16:00:00,983.11,24.6,10.00,1003.20,0.00,5.6,32.8,30.86,040,62
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-16-2019,16:00:00,985.23,24.9,10.00,1005.77,0.20,14.8,30.7,31.43,040,71
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-16-2019,16:00:00,1003.46,24.3,10.00,1003.89,0.00,16.7,30.7,30.29,170,69
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.90,09-16-2019,16:00:00,1002.10,25.9,11.00,1003.49,1.90,0.0,29.7,33.41,000,80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.01,09-16-2019,16:00:00,999.50,25.6,8.00,1004.39,4.10,5.6,29.1,32.75,050,81
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-16-2019,16:00:00,1000.12,23.1,11.00,1003.32,0.00,7.4,33.9,28.23,120,53
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-16-2019,16:00:00,1002.67,26.5,10.00,1003.75,0.30,0.0,33.2,34.71,000,68
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,17.00,09-16-2019,16:00:00,1004.17,25.3,10.00,1004.47,21.20,0.0,26.7,32.18,000,92
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,15.30,09-16-2019,16:00:00,1003.45,24.9,10.00,1004.14,15.30,0.0,26.6,31.44,000,90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,34.50,09-16-2019,16:00:00,1003.34,25.9,10.00,1003.83,87.70,3.7,26.2,33.43,180,98
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,09-16-2019,16:00:00,1003.43,26.1,10.00,1004.83,30.00,14.8,29.1,33.91,240,84
