WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,DewPoint,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,Rainfall,Rainfall24Hr,RelativeHumidity,VaporPressure
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,6.00,09-22-2019,10:00:00,000,24.0,25.5,1012.80,1001.37,0.0,25.50,50.40,92,29.91
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,09-22-2019,10:00:00,010,25.5,28.8,1012.45,1011.44,9.3,0.20,37.30,83,32.71
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,09-22-2019,10:00:00,080,22.6,30.2,1005.34,1003.54,7.4,0.00,67.40,64,27.39
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,09-22-2019,10:00:00,000,24.2,28.5,1012.10,1011.33,0.0,0.20,37.70,78,30.15
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,09-22-2019,10:00:00,090,23.7,26.3,1012.04,1011.33,9.3,0.40,32.00,86,29.25
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,09-22-2019,10:00:00,090,23.3,27.0,1011.73,1011.02,7.4,8.00,37.70,80,28.67
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-22-2019,10:00:00,080,23.0,28.4,1012.52,991.36,14.8,0.01,32.30,73,28.06
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,09-22-2019,10:00:00,070,23.4,24.7,1013.15,996.20,5.6,1.30,22.80,92,28.72
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.00,09-22-2019,10:00:00,090,22.9,24.5,1013.33,996.66,5.6,1.10,26.20,91,27.86
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-22-2019,10:00:00,090,22.4,26.8,1012.47,990.49,9.3,0.01,26.80,77,27.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.00,09-22-2019,10:00:00,080,21.3,24.9,1012.24,968.48,14.8,0.00,12.20,80,25.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,2.00,09-22-2019,10:00:00,070,22.5,24.0,1012.66,991.78,14.8,0.80,57.20,91,27.25
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,.00,09-22-2019,10:00:00,070,24.6,27.5,1014.54,993.60,18.5,0.00,19.60,84,30.97
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,8.00,09-22-2019,10:00:00,330,24.6,25.2,1012.09,1011.65,11.1,30.90,41.40,97,30.96
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,09-22-2019,10:00:00,000,23.6,24.8,1011.62,1010.18,0.0,14.40,95.80,93,29.16
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,09-22-2019,10:00:00,000,24.8,25.5,1011.17,1006.19,0.0,1.50,19.80,96,31.25
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,4.00,09-22-2019,10:00:00,000,24.5,26.5,1012.32,1009.01,0.0,4.50,37.80,89,30.70
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-22-2019,10:00:00,120,25.1,27.4,1012.20,1011.09,7.4,0.01,15.60,87,31.89
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,09-22-2019,10:00:00,000,24.2,27.4,1012.13,1011.83,0.0,1.40,40.30,83,30.23
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,9.00,09-22-2019,10:00:00,110,25.3,26.2,1011.95,1011.26,3.7,3.00,26.70,95,32.32
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-22-2019,10:00:00,120,25.0,26.6,1012.01,1011.51,3.7,0.50,20.10,91,31.71
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-22-2019,10:00:00,090,25.6,27.6,1012.10,1010.68,5.6,3.60,7.60,89,32.84
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,2.00,09-22-2019,10:00:00,070,24.9,25.2,1012.70,1011.00,25.9,29.50,37.00,98,31.49
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,.80,09-22-2019,10:00:00,000,24.3,25.0,1013.23,1005.12,0.0,0.90,9.80,96,30.32
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,8.00,09-22-2019,10:00:00,000,24.7,25.0,998.77,998.48,0.0,45.40,85.20,98,31.12
