WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-08-2019,10:00:00,30.72,24.5,10.00,29.5,6.60,000,1009.41,1013.44,75,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-08-2019,10:00:00,29.49,23.8,9.00,29.3,0.00,020,1003.63,1014.30,72,1.9
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-08-2019,10:00:00,29.60,23.9,10.00,29.5,0.00,300,1011.78,1013.71,72,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-08-2019,10:00:00,26.19,21.9,8.00,31.0,0.00,000,992.38,1013.09,58,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-08-2019,10:00:00,27.96,22.9,10.00,29.5,0.00,050,995.51,1013.13,68,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-08-2019,10:00:00,28.04,23.0,10.00,29.4,0.00,050,996.68,1012.80,68,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-08-2019,10:00:00,28.67,23.3,10.00,29.3,0.00,060,999.11,1013.12,70,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-08-2019,10:00:00,29.88,24.0,10.00,29.5,0.00,000,998.77,1013.57,72,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-08-2019,10:00:00,33.33,25.9,10.00,29.8,5.40,040,998.54,1013.17,79,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-08-2019,10:00:00,28.75,23.4,10.00,30.2,2.50,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.92,1012.92,67,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-08-2019,10:00:00,29.22,23.7,10.00,29.3,5.50,250,1005.29,1013.23,72,13.0
