WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindDirection,DewPoint,Rainfall24Hr,WindSpeed,RelativeHumidity,LandVisibility,Rainfall,MeanSeaLevelPressure,VaporPressure
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.2,09-27-2019,04:00:00,1011.77,000,24.2,0.00,0.0,89,6.00,0.00,1012.89,30.13
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.6,09-27-2019,04:00:00,997.74,000,23.2,0.00,0.0,87,8.00,0.00,1012.57,28.51
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.5,09-27-2019,04:00:00,1007.99,000,23.8,0.00,0.0,96,10.00,0.00,1013.96,29.41
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.0,09-27-2019,04:00:00,1012.13,000,26.1,1.80,0.0,95,8.00,1.80,1012.94,33.91
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.9,09-27-2019,04:00:00,1010.56,000,23.4,0.00,0.0,76,10.00,0.00,1011.01,28.74
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.2,09-27-2019,04:00:00,1002.44,000,22.4,0.00,0.0,96,4.00,0.00,1013.96,27.16
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.5,09-27-2019,04:00:00,1012.19,000,24.3,0.00,0.0,88,6.00,0.00,1013.21,30.43
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.9,09-27-2019,04:00:00,1011.40,020,23.1,0.00,3.7,85,7.00,0.00,1013.24,28.26
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.5,09-27-2019,04:00:00,1010.91,000,22.6,0.00,0.0,89,5.00,0.00,1011.69,27.35
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.8,09-27-2019,04:00:00,1012.30,080,24.2,0.00,5.6,81,9.00,0.00,1013.01,30.17
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.5,09-27-2019,04:00:00,1011.72,000,23.4,0.00,0.0,78,7.00,0.00,1012.42,28.80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.0,09-27-2019,04:00:00,992.93,080,22.1,0.00,7.4,79,8.00,0.00,1014.30,26.63
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.2,09-27-2019,04:00:00,996.78,000,21.7,0.00,0.0,81,6.00,0.00,1013.71,26.02
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.6,09-27-2019,04:00:00,997.62,360,21.3,0.00,7.4,82,6.00,0.00,1014.30,25.27
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.0,09-27-2019,04:00:00,991.93,000,23.8,0.00,0.0,93,4.00,0.00,1014.08,29.52
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.0,09-27-2019,04:00:00,970.10,080,21.7,0.00,7.4,82,8.00,0.00,1013.91,25.93
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.6,09-27-2019,04:00:00,992.97,000,22.2,0.00,0.0,87,8.00,0.00,1013.83,26.76
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.4,09-27-2019,04:00:00,994.27,040,22.5,0.00,9.3,95,5.00,0.00,1015.51,27.24
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.1,09-27-2019,04:00:00,1012.45,010,25.5,13.00,9.3,91,8.00,0.00,1012.89,32.69
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.5,09-27-2019,04:00:00,1010.66,000,24.0,0.00,0.0,86,6.00,0.00,1012.09,29.89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.8,09-27-2019,04:00:00,1007.79,000,25.2,0.00,0.0,97,7.00,0.00,1012.77,32.09
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.5,09-27-2019,04:00:00,1010.03,000,23.4,0.00,0.0,83,7.00,0.00,1013.35,28.82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.5,09-27-2019,04:00:00,1012.03,000,24.8,2.50,0.0,96,10.00,2.50,1013.15,31.25
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.4,09-27-2019,04:00:00,1012.35,000,24.4,0.01,0.0,79,10.00,0.00,1012.65,30.51
