WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,WindSpeed,StationPressure,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,62,08-07-2019,19:00:00,27.63,0.10,22.7,0.0,1000.39,33.5,0.01,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1003.36,30.9,8.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,70,08-07-2019,19:00:00,30.46,0.00,24.3,0.0,995.35,33.2,0.00,000,1003.18,30.5,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,69,08-07-2019,19:00:00,28.12,0.20,23.0,11.1,1003.95,32.0,0.00,230,1005.05,29.3,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,83,08-07-2019,19:00:00,36.92,0.00,27.6,3.7,990.79,33.9,0.00,100,1005.27,30.9,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-07-2019,19:00:00,23.28,2.80,19.9,11.1,871.21,21.1,0.00,290,1005.78,20.1,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,69,08-07-2019,19:00:00,30.70,0.00,24.5,0.0,998.01,35.0,0.00,000,1003.79,30.9,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,68,08-07-2019,19:00:00,29.89,0.40,24.0,9.3,1003.93,33.0,0.00,240,1004.72,30.5,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,81,08-07-2019,19:00:00,32.34,24.10,25.4,11.1,1004.17,30.8,0.01,230,1004.61,28.9,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,93,08-07-2019,19:00:00,31.57,23.70,24.9,0.0,994.85,28.7,0.00,000,1006.17,26.1,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,74,08-07-2019,19:00:00,29.46,0.30,23.8,5.6,1003.56,34.0,0.00,270,1004.57,29.0,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,67,08-07-2019,19:00:00,28.37,0.90,23.2,3.7,1002.25,32.5,0.00,230,1004.05,30.0,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,68,08-07-2019,19:00:00,27.11,2.20,22.4,3.7,1003.55,33.4,0.01,230,1004.31,28.9,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,80,08-07-2019,19:00:00,31.26,26.20,24.8,9.3,1004.29,31.6,0.01,200,1004.99,28.5,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,83,08-07-2019,19:00:00,34.16,0.10,26.3,0.0,1003.48,32.9,0.01,000,1004.18,29.5,7.00
