WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,Rainfall24Hr,Rainfall,RelativeHumidity,AirTemperature,VaporPressure,MinimumTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,974.63,08-18-2019,07:00:00,23.7,5.60,0.00,94,24.7,29.25,24.5,10.00,1008.40,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.96,08-18-2019,07:00:00,24.7,18.40,0.00,97,25.1,31.04,24.7,12.00,1008.58,210,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.80,08-18-2019,07:00:00,24.6,2.20,0.00,96,25.3,30.87,24.8,10.00,1008.74,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.10,08-18-2019,07:00:00,23.8,5.40,2.00,96,24.5,29.41,24.3,8.00,1008.20,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,972.95,08-18-2019,07:00:00,23.3,21.60,0.00,96,24.0,28.53,23.8,6.00,1008.77,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,978.31,08-18-2019,07:00:00,23.8,2.60,1.00,99,24.0,29.56,23.7,10.00,1008.29,000,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.22,08-18-2019,07:00:00,24.6,1.20,0.00,92,26.0,30.84,25.9,8.00,1008.55,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,988.67,08-18-2019,07:00:00,25.4,33.70,0.00,97,25.8,32.37,25.0,10.00,1008.66,000,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,979.61,08-18-2019,07:00:00,23.7,2.60,0.00,94,24.7,29.25,24.5,10.00,1008.48,120,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,988.51,08-18-2019,07:00:00,24.8,13.30,0.00,93,26.0,31.38,25.2,8.00,1008.77,140,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,987.06,08-18-2019,07:00:00,23.4,1.00,0.00,85,26.0,28.70,25.0,8.00,1008.88,210,5.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,989.20,08-18-2019,07:00:00,23.8,2.10,0.00,88,26.0,29.50,25.0,12.00,1008.77,220,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.74,08-18-2019,07:00:00,23.9,1.60,0.00,90,25.7,29.74,25.1,10.00,1009.59,000,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,992.25,08-18-2019,07:00:00,24.8,0.70,0.00,96,25.5,31.25,23.8,10.00,1009.78,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,982.34,08-18-2019,07:00:00,25.0,22.50,0.00,100,25.0,31.66,24.6,9.00,1008.30,000,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.24,08-18-2019,07:00:00,25.9,0.00,0.00,98,26.2,33.43,23.9,10.00,1009.05,180,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.69,08-18-2019,07:00:00,25.1,0.00,0.00,97,25.7,31.90,25.4,10.00,1008.92,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.27,08-18-2019,07:00:00,24.4,10.80,0.00,95,25.3,30.60,24.3,10.00,1009.84,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.60,08-18-2019,07:00:00,23.8,3.50,0.00,96,24.5,29.41,24.0,10.00,1008.12,000,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,995.25,08-18-2019,07:00:00,24.3,0.00,0.00,87,26.6,30.34,26.0,8.00,1009.69,160,3.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.49,08-18-2019,07:00:00,22.6,0.00,0.00,75,27.5,27.47,27.0,8.00,1006.84,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.91,08-18-2019,07:00:00,24.8,2.80,0.00,94,25.8,31.27,24.8,10.00,1009.17,140,9.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,994.51,08-18-2019,07:00:00,24.3,0.00,0.00,93,25.5,30.44,24.5,10.00,1007.78,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.54,08-18-2019,07:00:00,25.3,5.10,0.00,95,26.2,32.32,25.4,10.00,1008.91,150,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.14,08-18-2019,07:00:00,24.1,1.60,0.00,89,26.0,30.03,25.4,9.00,1008.93,190,7.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,992.60,08-18-2019,07:00:00,24.7,0.70,0.00,93,26.0,31.11,25.0,10.00,1010.21,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,993.16,08-18-2019,07:00:00,24.6,20.20,0.00,92,26.0,30.84,25.0,10.00,1009.08,000,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,989.29,08-18-2019,07:00:00,24.3,0.01,0.00,90,26.0,30.30,25.3,10.00,1008.26,200,9.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,959.56,08-18-2019,07:00:00,21.8,17.00,0.00,93,23.0,26.09,22.4,7.00,1011.46,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.97,08-18-2019,07:00:00,25.1,30.60,0.00,95,26.0,31.93,25.1,5.00,1008.95,100,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.28,08-18-2019,07:00:00,19.9,5.70,0.00,95,20.7,23.24,20.2,6.00,1009.89,000,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,993.53,08-18-2019,07:00:00,25.1,14.50,0.00,97,25.7,31.90,24.4,8.00,1009.62,000,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.11,08-18-2019,07:00:00,23.7,0.01,0.00,83,26.8,29.37,26.4,10.00,1009.16,180,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.91,08-18-2019,07:00:00,24.0,0.01,0.00,92,25.5,29.91,25.0,8.00,1010.68,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.43,08-18-2019,07:00:00,23.8,0.00,0.00,88,26.0,29.50,25.8,9.00,1010.37,150,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,988.77,08-18-2019,07:00:00,23.2,0.00,0.00,82,26.4,28.37,25.3,10.00,1009.73,000,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,991.65,08-18-2019,07:00:00,24.5,71.30,0.00,94,25.5,30.71,24.5,10.00,1009.44,200,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,993.02,08-18-2019,07:00:00,24.8,10.00,0.00,96,25.5,31.25,25.0,10.00,1009.29,190,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,996.56,08-18-2019,07:00:00,23.9,8.30,0.00,91,25.5,29.64,24.6,10.00,1010.71,170,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,996.15,08-18-2019,07:00:00,23.7,9.60,0.00,92,25.0,29.26,24.0,9.00,1011.14,000,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,996.33,08-18-2019,07:00:00,24.7,0.00,0.00,95,25.6,31.17,24.3,8.00,1011.12,000,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.30,08-18-2019,07:00:00,24.6,13.90,0.01,92,26.0,30.84,25.0,10.00,1009.33,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.74,08-18-2019,07:00:00,24.4,2.20,0.00,93,25.7,30.54,25.1,10.00,1009.75,000,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.89,08-18-2019,07:00:00,24.0,0.00,0.00,88,26.2,29.86,24.8,7.00,1010.01,190,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,995.49,08-18-2019,07:00:00,23.4,0.00,0.00,85,26.0,28.70,25.7,8.00,1010.27,000,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.14,08-18-2019,07:00:00,19.0,20.00,0.00,100,19.0,21.95,18.3,.05,1012.01,190,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.46,08-18-2019,07:00:00,24.7,2.00,0.00,94,25.7,31.08,24.5,10.00,1010.38,000,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.06,08-18-2019,07:00:00,24.4,0.00,0.00,88,26.6,30.62,26.0,9.00,1009.86,000,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.44,08-18-2019,07:00:00,24.0,0.00,0.00,77,28.5,29.87,28.0,10.00,1009.88,210,13.0
