WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,VaporPressure,StationPressure
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.3,07-13-2019,10:00:00,6.30,1012.13,25.8,240,73,0.00,3.7,10.00,33.27,1011.34
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.8,07-13-2019,10:00:00,0.30,1011.64,22.8,090,59,0.00,5.6,10.00,27.71,1011.01
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.0,07-13-2019,10:00:00,44.90,1011.61,24.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",69,0.00,0.0,10.00,31.19,1011.21
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.8,07-13-2019,10:00:00,37.50,1013.83,25.9,000,79,0.00,0.0,6.00,33.33,1009.63
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.3,07-13-2019,10:00:00,0.20,1011.89,22.5,000,63,0.00,0.0,10.00,27.30,1010.29
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.0,07-13-2019,10:00:00,0.10,1012.50,25.4,000,72,0.00,0.0,12.00,32.34,1009.05
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.9,07-13-2019,10:00:00,0.50,1011.58,24.3,130,68,0.00,3.7,10.00,30.41,1010.23
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.5,07-13-2019,10:00:00,0.00,1012.04,24.8,000,72,0.00,0.0,10.00,31.31,1011.16
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.5,07-13-2019,10:00:00,0.00,1011.76,25.3,000,74,0.00,0.0,10.00,32.17,1008.23
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.5,07-13-2019,10:00:00,0.01,1011.82,24.4,000,66,0.01,0.0,10.00,30.49,1011.39
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.0,07-13-2019,10:00:00,0.00,1011.37,23.8,300,62,0.00,3.7,10.00,29.51,1010.39
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.7,07-13-2019,10:00:00,0.01,1012.14,27.0,280,81,0.00,5.6,10.00,35.56,1011.33
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.3,07-13-2019,10:00:00,9.50,1012.09,25.6,000,76,0.00,0.0,8.00,32.92,1010.29
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.4,07-13-2019,10:00:00,0.00,1012.02,23.5,250,66,0.00,9.3,10.00,28.86,1011.27
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.1,07-13-2019,10:00:00,1.40,1012.23,24.7,000,73,0.00,0.0,10.00,31.07,1008.26
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.6,07-13-2019,10:00:00,6.50,1012.20,25.4,000,74,0.00,0.0,10.00,32.38,1011.52
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.6,07-13-2019,10:00:00,22.80,1011.66,24.1,000,69,0.00,0.0,10.00,30.09,1010.55
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.1,07-13-2019,10:00:00,19.50,1011.90,25.9,000,78,0.00,0.0,12.00,33.38,1008.99
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.0,07-13-2019,10:00:00,0.00,1012.42,23.5,200,68,0.00,7.4,11.00,28.91,1011.73
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.5,07-13-2019,10:00:00,0.10,1012.27,22.8,000,71,0.00,0.0,9.00,27.71,1008.15
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.9,07-13-2019,10:00:00,0.00,1012.49,22.9,260,62,0.00,7.4,12.00,27.90,1011.91
