WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,LandVisibility,VaporPressure,WindSpeed,Rainfall24Hr,DewPoint,RelativeHumidity,WindDirection,StationPressure,AirTemperature
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1006.11,09-03-2019,04:00:00,0.00,6.00,27.92,0.0,12.00,22.9,95,000,970.36,23.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.14,09-03-2019,04:00:00,0.00,6.00,28.16,0.0,16.80,23.0,99,000,973.23,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.59,09-03-2019,04:00:00,0.00,7.00,29.41,0.0,40.90,23.8,96,000,998.23,24.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1001.09,09-03-2019,04:00:00,0.00,10.00,31.65,7.4,0.60,25.0,94,240,981.26,26.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.20,09-03-2019,04:00:00,0.00,10.00,27.66,7.4,27.00,22.8,96,020,975.34,23.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1002.92,09-03-2019,04:00:00,0.01,8.00,29.36,3.7,53.80,23.7,92,300,982.72,25.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1002.21,09-03-2019,04:00:00,2.00,8.00,28.83,11.1,50.00,23.4,90,290,980.47,25.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1001.31,09-03-2019,04:00:00,0.50,8.00,30.13,11.1,29.80,24.2,96,300,981.81,24.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1001.50,09-03-2019,04:00:00,13.20,6.00,29.77,9.3,28.00,24.0,96,280,984.73,24.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1001.75,09-03-2019,04:00:00,19.00,3.00,30.30,3.7,41.00,24.3,97,310,984.31,24.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1002.33,09-03-2019,04:00:00,0.00,10.00,29.66,0.0,9.00,23.9,98,000,976.46,24.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.22,09-03-2019,04:00:00,0.10,10.00,32.62,0.0,6.40,25.5,100,000,999.42,25.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.41,09-03-2019,04:00:00,0.20,6.00,31.47,0.0,8.60,24.9,100,000,999.18,24.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1005.16,09-03-2019,04:00:00,0.00,8.00,29.41,0.0,16.80,23.8,96,000,988.62,24.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.62,09-03-2019,04:00:00,0.40,10.00,27.66,0.0,28.80,22.8,96,000,983.08,23.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,1006.35,09-03-2019,04:00:00,1.00,6.00,28.11,0.0,3.80,23.0,91,000,991.86,24.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1005.50,09-03-2019,04:00:00,0.00,7.00,28.79,0.0,5.00,23.4,95,000,989.00,24.3
