WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,DewPoint,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,MeanSeaLevelPressure
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-09-2019,13:00:00,975.01,25.5,0.00,9.3,33.9,62,32.62,17.00,280,1003.92
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.01,09-09-2019,13:00:00,998.95,23.2,0.00,0.0,33.4,55,28.35,10.00,000,1006.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-09-2019,13:00:00,984.81,25.9,0.00,13.0,34.0,63,33.44,17.00,250,1004.19
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-09-2019,13:00:00,976.76,22.7,0.00,14.8,33.3,54,27.59,15.00,260,1004.74
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.01,09-09-2019,13:00:00,985.26,22.4,0.00,18.5,33.0,54,27.00,18.00,270,1004.98
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-09-2019,13:00:00,983.55,24.2,0.00,7.4,33.0,60,30.11,15.00,230,1004.79
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-09-2019,13:00:00,985.29,23.7,0.00,5.6,33.0,58,29.25,15.00,190,1004.34
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,09-09-2019,13:00:00,988.19,24.1,0.00,7.4,32.5,61,29.95,13.00,250,1004.59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.40,09-09-2019,13:00:00,988.02,24.7,0.00,9.3,32.5,64,31.11,12.00,270,1005.08
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.40,09-09-2019,13:00:00,979.36,25.1,0.00,7.4,31.6,69,31.85,11.00,280,1004.68
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-09-2019,13:00:00,1001.22,26.2,0.00,5.6,32.6,69,33.99,10.00,240,1006.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-09-2019,13:00:00,1000.53,24.4,0.00,0.0,31.5,66,30.49,12.00,000,1006.63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-09-2019,13:00:00,990.11,24.5,0.00,0.0,33.0,61,30.69,12.00,000,1006.21
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.10,09-09-2019,13:00:00,984.99,24.0,0.90,0.0,29.5,72,29.88,10.00,000,1007.13
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-09-2019,13:00:00,993.55,23.1,0.00,14.8,30.2,66,28.20,8.00,260,1007.80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-09-2019,13:00:00,990.35,23.1,0.00,0.0,31.2,62,28.20,12.00,000,1006.49
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-09-2019,13:00:00,1001.62,23.0,0.00,7.4,32.3,58,28.13,10.00,250,1006.76
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,5.10,09-09-2019,13:00:00,992.03,25.2,0.00,0.0,32.8,64,32.03,12.00,000,1004.95
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-09-2019,13:00:00,997.75,23.8,0.00,3.7,32.0,62,29.51,10.00,290,1006.92
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.00,09-09-2019,13:00:00,984.10,24.5,0.01,7.4,32.0,64,30.65,10.00,240,1005.40
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,2.70,09-09-2019,13:00:00,987.54,26.1,0.00,9.3,32.7,69,33.91,10.00,240,1004.67
