WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindDirection,Rainfall,StationPressure,MaximumTemperature,Rainfall24Hr,AirTemperature,WindSpeed,DewPoint
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.30,10-01-2019,19:00:00,66,8.00,31.52,000,0.00,1000.12,36.7,0.00,32.0,0.0,24.9
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1007.09,10-01-2019,19:00:00,69,5.00,31.93,120,0.00,987.50,34.7,0.00,31.5,3.7,25.1
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.65,10-01-2019,19:00:00,68,5.00,28.91,000,0.00,979.29,35.6,0.00,30.0,0.0,23.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.97,10-01-2019,19:00:00,64,9.00,28.15,000,0.00,988.03,35.0,0.00,30.6,0.0,23.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1008.40,10-01-2019,19:00:00,85,5.00,31.95,000,0.00,986.74,34.3,0.00,28.0,0.0,25.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1008.05,10-01-2019,19:00:00,70,8.00,28.78,000,0.00,988.72,34.2,0.00,29.5,0.0,23.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1008.08,10-01-2019,19:00:00,75,7.00,30.72,000,0.00,991.47,34.3,0.00,29.5,0.0,24.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1008.80,10-01-2019,19:00:00,64,7.00,22.57,000,0.00,991.35,33.7,0.00,26.7,0.0,19.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1007.13,10-01-2019,19:00:00,75,6.00,30.72,000,0.00,981.58,35.2,0.00,29.5,0.0,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.30,10-01-2019,19:00:00,78,8.00,35.23,000,0.00,1001.59,35.1,0.00,31.1,0.0,26.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.62,10-01-2019,19:00:00,79,8.00,34.52,000,0.00,1001.50,34.7,0.00,30.5,0.0,26.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.03,10-01-2019,19:00:00,63,8.00,26.09,000,0.00,991.72,35.8,0.00,29.5,0.0,21.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.43,10-01-2019,19:00:00,74,10.00,27.85,000,0.00,985.18,34.4,0.00,28.0,0.0,22.9
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.30,10-01-2019,19:00:00,76,8.00,31.08,000,0.00,994.01,36.9,0.00,29.4,0.0,24.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.88,10-01-2019,19:00:00,82,8.00,31.62,000,0.00,991.56,36.0,0.00,28.4,0.0,25.0
