WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,Rainfall,WindDirection,StationPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,VaporPressure,AirTemperature
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.00,08-24-2019,01:00:00,24.4,3.30,000,991.53,8.60,97,1008.38,0.0,30.58,25.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.00,08-24-2019,01:00:00,24.5,3.10,190,992.32,13.30,96,1008.87,5.6,30.69,25.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-24-2019,01:00:00,24.2,0.00,000,986.58,12.00,87,1008.50,0.0,30.16,26.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-24-2019,01:00:00,23.1,0.00,190,966.33,1.00,85,1009.84,7.4,28.26,25.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-24-2019,01:00:00,24.2,0.10,170,987.79,16.10,91,1008.46,5.6,30.19,25.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,08-24-2019,01:00:00,24.9,1.80,200,988.76,4.40,100,1009.77,16.7,31.47,24.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-24-2019,01:00:00,23.9,0.00,270,1008.90,2.20,79,1009.33,3.7,29.63,27.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,08-24-2019,01:00:00,25.1,0.00,000,1007.56,21.10,97,1008.99,0.0,31.79,25.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-24-2019,01:00:00,25.6,0.00,000,1004.46,12.90,98,1009.42,0.0,32.76,26.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-24-2019,01:00:00,23.9,0.00,220,1005.97,0.00,81,1009.27,5.6,29.60,27.5
