WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.44,07-09-2019,10:00:00,25.0,1010.95,31.60,0.00,72,0.00,30.5,12.00,16.7,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.56,07-09-2019,10:00:00,24.3,1010.64,30.36,0.00,64,0.00,32.0,15.00,1.9,280
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.46,07-09-2019,10:00:00,25.2,1010.87,32.10,0.00,70,0.00,31.3,6.00,9.3,180
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.05,07-09-2019,10:00:00,26.0,1010.80,33.66,0.20,82,0.20,29.4,8.00,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.27,07-09-2019,10:00:00,23.6,1011.04,29.15,0.00,63,0.00,31.4,12.00,14.8,360
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.79,07-09-2019,10:00:00,25.5,1011.24,32.68,2.60,72,0.00,31.3,10.00,7.4,330
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.50,07-09-2019,10:00:00,24.9,1011.17,31.47,0.00,70,0.00,31.0,12.00,0.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.66,07-09-2019,10:00:00,23.4,1011.17,28.82,0.20,61,0.00,31.8,10.00,7.4,260
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.38,07-09-2019,10:00:00,24.6,1011.29,30.90,0.50,69,0.00,31.0,10.00,7.4,240
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.52,07-09-2019,10:00:00,21.8,1011.19,26.15,0.00,53,0.00,32.7,12.00,14.8,300
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.61,07-09-2019,10:00:00,25.8,1012.40,33.22,4.60,74,0.00,31.0,10.00,3.7,190
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.13,07-09-2019,10:00:00,22.5,1010.76,27.27,0.00,57,0.00,32.0,10.00,5.6,210
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.31,07-09-2019,10:00:00,25.7,1010.71,33.09,0.00,67,0.00,32.6,10.00,0.0,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.31,07-09-2019,10:00:00,21.9,1013.49,26.19,0.00,58,0.00,31.0,10.00,5.6,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.20,07-09-2019,10:00:00,23.7,1011.79,29.33,0.00,67,0.00,30.5,12.00,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.89,07-09-2019,10:00:00,24.8,1011.33,31.31,0.00,69,0.00,31.2,10.00,5.6,300
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.99,07-09-2019,10:00:00,24.8,1011.34,31.31,2.80,72,0.00,30.5,10.00,0.0,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.86,07-09-2019,10:00:00,24.7,1011.74,31.15,0.00,71,0.00,30.7,10.00,11.1,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.46,07-09-2019,10:00:00,24.4,1011.99,30.50,0.00,72,0.00,30.1,10.00,5.6,270
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.50,07-09-2019,10:00:00,24.2,1011.93,30.13,0.00,67,0.00,30.9,10.00,3.7,220
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.44,07-09-2019,10:00:00,24.5,1011.42,30.65,0.00,67,0.00,31.3,10.00,9.3,210
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.08,07-09-2019,10:00:00,25.7,1011.88,33.04,0.00,68,0.00,32.3,10.00,5.6,220
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.81,07-09-2019,10:00:00,24.9,1011.60,31.52,0.00,66,0.00,32.0,10.00,5.6,170
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.64,07-09-2019,10:00:00,23.7,1011.38,29.24,8.80,64,0.00,31.3,11.00,9.3,280
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.74,07-09-2019,10:00:00,24.1,1011.70,29.96,0.01,66,0.00,31.1,10.00,13.0,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.17,07-09-2019,10:00:00,24.6,1011.85,30.95,27.80,73,0.00,29.9,10.00,0.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.17,07-09-2019,10:00:00,25.8,1012.28,33.14,5.80,73,0.00,31.1,12.00,5.6,180
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.99,07-09-2019,10:00:00,25.0,1011.88,31.76,6.40,71,0.00,31.0,12.00,0.0,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.86,07-09-2019,10:00:00,25.8,1011.55,33.17,30.70,78,0.00,30.0,8.00,7.4,230
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.18,07-09-2019,10:00:00,23.3,1012.30,28.67,51.50,70,0.00,29.3,10.00,7.4,260
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.85,07-09-2019,10:00:00,22.6,1012.44,27.39,0.00,64,0.00,30.2,12.00,0.0,000
