WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,StationPressure,AirTemperature,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall24Hr,DewPoint,WindDirection
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-22-2019,19:00:00,31.9,990.77,30.6,12.00,0.0,1003.77,68,29.81,0.40,24.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-22-2019,19:00:00,31.0,995.42,30.1,12.00,0.0,1004.62,74,31.64,0.20,25.0,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-22-2019,19:00:00,33.0,983.29,30.9,10.00,0.0,1004.65,63,28.17,0.00,23.1,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-22-2019,19:00:00,34.2,988.26,30.7,10.00,0.0,1005.52,72,31.72,4.60,25.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.70,07-22-2019,19:00:00,30.6,989.88,25.0,9.00,0.0,1005.80,92,29.00,9.50,23.5,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-22-2019,19:00:00,33.6,985.29,31.1,10.00,0.0,1003.86,71,31.97,0.20,25.2,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-22-2019,19:00:00,31.0,956.49,27.2,8.00,0.0,1007.49,81,29.31,4.10,23.7,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-22-2019,19:00:00,32.8,1000.52,30.1,10.00,0.0,1004.43,76,32.50,1.30,25.4,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-22-2019,19:00:00,24.6,911.40,22.1,.20,14.8,1006.24,95,25.37,1.60,21.3,290
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-22-2019,19:00:00,32.5,989.67,28.0,8.00,0.0,1005.58,90,33.94,17.40,26.2,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-22-2019,19:00:00,36.5,1000.71,32.0,12.00,0.0,1004.66,74,35.40,0.00,26.9,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-22-2019,19:00:00,36.5,994.96,32.2,9.00,0.0,1005.43,62,29.91,0.00,24.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-22-2019,19:00:00,35.8,1002.96,31.9,8.00,0.0,1004.85,75,35.48,0.30,26.9,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-22-2019,19:00:00,35.8,984.38,32.5,10.00,5.6,1004.82,51,24.96,0.00,21.1,230
