WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,DewPoint,RelativeHumidity,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,StationPressure,VaporPressure,LandVisibility,AirTemperature
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,07-16-2019,22:00:00,14.8,25.0,80,1005.52,0.00,0.01,1004.82,31.66,10.00,28.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-16-2019,22:00:00,0.0,25.5,74,1004.44,0.00,0.00,1003.74,32.59,7.00,30.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,230,07-16-2019,22:00:00,5.6,23.6,64,1004.09,0.00,0.00,983.29,29.12,10.00,31.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,07-16-2019,22:00:00,0.0,23.5,68,1004.20,0.00,3.60,987.70,28.91,10.00,30.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,07-16-2019,22:00:00,5.6,23.9,72,1004.63,0.00,3.30,988.37,29.60,7.00,29.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,07-16-2019,22:00:00,0.0,23.6,65,1004.14,0.00,0.00,982.63,29.20,10.00,31.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,260,07-16-2019,22:00:00,3.7,22.0,68,1004.75,0.00,0.00,961.82,26.39,10.00,28.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,230,07-16-2019,22:00:00,5.6,23.6,70,1004.23,0.00,0.00,983.91,29.16,10.00,29.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,190,07-16-2019,22:00:00,14.8,25.7,78,1005.42,0.00,37.00,984.83,32.96,9.00,29.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,320,07-16-2019,22:00:00,9.3,22.7,65,1005.86,0.00,0.00,1005.43,27.55,10.00,30.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-16-2019,22:00:00,0.0,24.9,81,1004.41,0.00,0.00,1003.00,31.54,6.00,28.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-16-2019,22:00:00,0.0,25.5,81,1004.99,0.00,0.00,1000.10,32.55,8.00,29.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,07-16-2019,22:00:00,0.0,21.7,65,1005.60,0.00,0.00,1002.34,25.98,12.00,29.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,270,07-16-2019,22:00:00,7.4,23.0,70,1005.31,0.00,0.00,1004.22,28.10,10.00,29.0
