WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,DewPoint,StationPressure,AirTemperature,Rainfall
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,07-16-2019,13:00:00,1004.68,0.00,10.00,000,28.22,48,23.1,999.08,36.0,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,13.0,07-16-2019,13:00:00,1003.95,0.00,12.00,150,29.70,57,23.9,997.91,33.5,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-16-2019,13:00:00,1003.49,0.00,10.00,000,26.19,47,21.9,987.53,35.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,07-16-2019,13:00:00,1004.00,31.60,8.00,000,30.51,79,24.4,981.85,28.4,0.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,07-16-2019,13:00:00,1004.07,1.00,10.00,300,28.72,54,23.4,990.06,34.0,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,9.3,07-16-2019,13:00:00,1003.79,0.00,7.00,240,28.72,50,23.4,987.91,35.4,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,07-16-2019,13:00:00,1004.34,0.00,12.00,230,29.95,57,24.1,999.24,33.9,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-16-2019,13:00:00,1002.44,0.00,12.00,000,28.43,49,23.2,989.66,35.4,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,07-16-2019,13:00:00,1003.79,0.00,12.00,040,25.63,48,21.5,994.71,34.0,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,07-16-2019,13:00:00,1002.96,0.00,10.00,100,28.02,47,23.0,981.98,35.9,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,9.3,07-16-2019,13:00:00,1003.35,0.00,12.00,240,28.64,50,23.3,986.39,35.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.3,07-16-2019,13:00:00,1002.78,0.00,12.00,220,26.60,49,22.1,987.40,34.5,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,07-16-2019,13:00:00,1001.97,0.10,10.00,190,29.36,48,23.7,983.75,36.4,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-16-2019,13:00:00,1004.28,5.10,12.00,000,27.71,66,22.8,953.88,29.8,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,07-16-2019,13:00:00,1004.02,0.00,12.00,230,30.78,59,24.5,1000.16,33.6,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,9.3,07-16-2019,13:00:00,1004.22,8.70,8.00,220,26.23,74,21.9,910.97,26.8,0.00
