WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,DewPoint,MaximumTemperature,LandVisibility,WindSpeed,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.34,09-18-2019,19:00:00,998.02,7.20,000,25.9,34.4,11.00,0.0,32.3,1007.19,0.00,69
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.10,09-18-2019,19:00:00,986.47,0.01,020,24.1,34.6,10.00,3.7,28.9,1008.04,0.00,76
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.29,09-18-2019,19:00:00,990.10,0.00,070,24.8,34.4,{'@attributes': {'Unit': 'km'}},14.8,28.8,1007.50,0.00,79
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.49,09-18-2019,19:00:00,992.12,0.00,040,25.9,31.5,10.00,5.6,28.2,1007.91,0.00,88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.86,09-18-2019,19:00:00,988.70,1.00,000,25.1,34.2,10.00,0.0,28.8,1007.48,0.00,80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.25,09-18-2019,19:00:00,956.09,0.00,000,22.5,33.9,9.00,0.0,26.5,1007.18,0.00,79
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.55,09-18-2019,19:00:00,1003.18,0.10,000,25.5,34.5,6.00,0.0,29.0,1007.11,0.00,81
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,26.09,09-18-2019,19:00:00,914.07,0.00,000,21.8,28.1,6.00,0.0,24.2,1008.48,0.00,86
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.96,09-18-2019,19:00:00,991.95,0.00,100,25.7,32.5,8.00,7.4,28.5,1007.87,0.00,85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.14,09-18-2019,19:00:00,1003.41,6.50,000,25.8,34.9,7.00,0.0,31.1,1007.39,0.00,73
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,32.71,09-18-2019,19:00:00,997.49,2.30,000,25.5,34.0,8.00,0.0,30.2,1008.06,0.00,76
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,34.64,09-18-2019,19:00:00,1005.77,10.40,000,26.5,32.9,8.00,0.0,30.0,1007.69,0.00,82
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.42,09-18-2019,19:00:00,987.31,0.00,000,23.2,34.7,10.00,0.0,30.6,1007.94,0.00,65
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.54,09-18-2019,19:00:00,990.23,0.00,060,24.9,32.6,10.00,11.1,28.5,1007.82,0.00,81
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.82,09-18-2019,19:00:00,991.93,0.10,000,25.1,32.7,10.00,0.0,28.5,1008.02,0.00,82
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.62,09-18-2019,19:00:00,994.04,2.20,000,24.4,32.7,10.00,0.0,28.6,1008.01,0.00,78
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.42,09-18-2019,19:00:00,993.40,4.30,000,24.3,32.5,9.00,0.0,27.5,1008.22,0.00,83
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.54,09-18-2019,19:00:00,993.59,0.00,000,26.5,32.5,8.00,0.0,29.4,1008.16,0.00,84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.39,09-18-2019,19:00:00,1003.72,36.40,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.4,32.9,10.00,0.0,30.3,1006.71,0.00,80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,35.67,09-18-2019,19:00:00,999.21,4.60,000,27.0,33.8,10.00,0.0,31.3,1007.05,0.00,78
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,36.53,09-18-2019,19:00:00,1006.73,0.80,240,27.4,35.0,8.00,3.7,31.0,1007.83,0.00,81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,38.51,09-18-2019,19:00:00,992.00,1.80,090,28.3,32.5,8.00,3.7,30.1,1006.53,1.80,90
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.16,09-18-2019,19:00:00,874.79,1.80,000,19.9,23.8,8.00,0.0,20.8,1009.57,0.00,94
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,32.84,09-18-2019,19:00:00,1001.17,0.00,000,25.6,34.5,10.00,0.0,30.4,1006.98,0.00,76
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.49,09-18-2019,19:00:00,1006.56,2.70,100,26.4,36.0,8.00,3.7,32.0,1007.35,0.00,73
