WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,LandVisibility,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,WindDirection,VaporPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,69,09-11-2019,13:00:00,28.8,10.00,0.00,2.20,22.5,1010.78,977.38,0.0,000,27.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,69,09-11-2019,13:00:00,29.8,15.00,0.00,0.01,23.6,1011.30,992.92,3.7,280,29.08
48331,NAN,น่าน,น่าน,18.77972,100.77778,70,09-11-2019,13:00:00,29.0,10.00,0.00,0.00,22.9,1011.68,988.95,0.0,000,27.83
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,73,09-11-2019,13:00:00,28.6,12.00,0.01,0.01,23.2,1011.54,981.75,3.7,260,28.43
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,83,09-11-2019,13:00:00,27.0,7.00,0.20,1.60,23.8,1011.29,975.74,0.0,000,29.48
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,79,09-11-2019,13:00:00,28.8,15.00,0.00,5.90,24.8,1010.66,981.08,7.4,090,31.29
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,85,09-11-2019,13:00:00,27.0,8.00,8.60,8.60,24.3,1011.69,1004.35,0.0,000,30.29
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,88,09-11-2019,13:00:00,27.0,10.00,1.00,24.40,24.8,1011.88,991.90,5.6,270,31.38
48353,LOEI,เลย,เลย,17.45000,101.73333,73,09-11-2019,13:00:00,29.5,15.00,0.00,1.60,24.2,1010.88,982.39,3.7,030,30.16
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,65,09-11-2019,13:00:00,28.0,10.00,0.10,66.40,20.8,1011.42,991.24,1.9,160,24.48
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,78,09-11-2019,13:00:00,28.1,9.00,0.01,66.50,23.9,1011.81,990.08,3.7,270,29.65
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,86,09-11-2019,13:00:00,26.8,12.00,0.00,38.20,24.2,1011.52,991.95,3.7,100,30.18
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,79,09-11-2019,13:00:00,27.2,12.00,0.01,81.90,23.2,1012.18,995.37,0.0,000,28.51
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,83,09-11-2019,13:00:00,27.0,9.00,0.80,85.30,23.8,1012.29,994.80,0.0,000,29.48
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,76,09-11-2019,13:00:00,29.3,11.00,0.00,23.00,24.6,1010.90,985.24,3.7,220,30.88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,77,09-11-2019,13:00:00,30.4,10.00,0.00,15.50,25.9,1011.95,1006.20,0.0,000,33.42
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,75,09-11-2019,13:00:00,30.3,12.00,0.00,14.00,25.3,1011.05,1004.90,0.0,000,32.34
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,86,09-11-2019,13:00:00,26.5,10.00,5.10,18.80,24.0,1012.52,995.97,0.0,000,29.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,86,09-11-2019,13:00:00,26.1,8.00,2.10,4.30,23.6,1011.06,988.59,3.7,200,29.15
48376,TAK,ตาก,ตาก,16.87833,99.14333,86,09-11-2019,13:00:00,28.0,7.00,1.40,1.40,25.4,1012.74,998.33,0.0,000,32.52
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,87,09-11-2019,13:00:00,27.2,7.00,0.10,1.70,24.8,1012.81,996.34,0.0,000,31.22
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,72,09-11-2019,13:00:00,29.9,10.00,0.00,1.50,24.3,1012.00,1006.80,5.6,180,30.39
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,78,09-11-2019,13:00:00,29.0,12.00,0.00,12.70,24.7,1010.51,997.36,0.0,000,31.13
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,73,09-11-2019,13:00:00,29.8,10.00,0.00,11.60,24.5,1011.76,1002.48,3.7,140,30.75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,81,09-11-2019,13:00:00,28.0,8.00,0.01,18.20,24.4,1011.70,989.99,3.7,210,30.56
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,75,09-11-2019,13:00:00,30.5,10.00,0.01,3.10,25.6,1010.88,993.52,13.0,240,32.75
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,74,09-11-2019,13:00:00,29.0,12.00,0.00,6.80,23.9,1010.78,994.99,3.7,230,29.74
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,84,09-11-2019,13:00:00,28.5,8.00,0.01,11.50,25.5,1010.98,992.12,11.1,200,32.67
