WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,WindDirection,LandVisibility,AirTemperature,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,DewPoint,Rainfall24Hr
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,94,09-02-2019,04:00:00,5.20,290,7.00,24.8,29.42,987.10,7.4,1004.85,23.8,68.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,97,09-02-2019,04:00:00,6.20,280,5.00,24.8,30.48,988.46,7.4,1004.70,24.4,107.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,94,09-02-2019,04:00:00,14.70,280,9.00,25.0,29.79,990.17,11.1,1004.25,24.0,21.80
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,96,09-02-2019,04:00:00,23.20,000,6.00,24.5,29.41,990.22,0.0,1005.15,23.8,40.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,98,09-02-2019,04:00:00,10.70,290,4.00,25.0,31.12,990.55,5.6,1005.29,24.7,13.80
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,97,09-02-2019,04:00:00,0.10,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,26.4,33.27,1002.97,0.0,1005.99,25.8,6.50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,95,09-02-2019,04:00:00,0.01,000,7.00,25.2,30.42,998.40,0.0,1006.39,24.3,5.60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,92,09-02-2019,04:00:00,0.00,000,7.00,26.3,31.41,1005.41,0.0,1006.52,24.9,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,97,09-02-2019,04:00:00,26.50,000,2.00,25.0,30.58,990.75,0.0,1005.51,24.4,32.50
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,100,09-02-2019,04:00:00,0.00,280,.05,18.6,21.41,875.80,13.0,1011.81,18.6,26.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,95,09-02-2019,04:00:00,0.40,000,10.00,24.8,29.69,1000.69,0.0,1006.61,23.9,1.20
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,83,09-02-2019,04:00:00,0.00,000,8.00,27.0,29.48,1006.05,0.0,1006.85,23.8,0.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,09-02-2019,04:00:00,3.10,000,3.00,24.3,29.05,996.33,0.0,1007.74,23.6,22.80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,88,09-02-2019,04:00:00,0.00,000,10.00,26.5,30.43,1005.51,0.0,1006.52,24.3,4.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,92,09-02-2019,04:00:00,0.00,000,7.00,26.0,30.84,1004.75,0.0,1006.58,24.6,2.20
