WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,AirTemperature,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,DewPoint
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,6.00,08-12-2019,13:00:00,12.00,32.0,000,0.0,1004.41,0.00,32.99,69,991.46,25.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-12-2019,13:00:00,12.00,31.7,150,5.6,1005.54,0.00,31.19,67,996.38,24.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.10,08-12-2019,13:00:00,10.00,31.4,210,11.1,1005.56,0.00,28.04,61,984.22,23.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-12-2019,13:00:00,10.00,31.3,000,0.0,1005.74,0.00,32.10,70,988.51,25.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,19.90,08-12-2019,13:00:00,12.00,31.6,280,7.4,1004.91,0.00,31.85,69,989.35,25.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,4.40,08-12-2019,13:00:00,10.00,31.3,180,5.6,1004.49,0.00,29.24,64,985.92,23.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.90,08-12-2019,13:00:00,11.00,28.2,000,0.0,1007.20,0.00,27.95,73,956.39,22.9
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.80,08-12-2019,13:00:00,10.00,32.4,170,11.1,1005.42,0.00,31.77,65,1001.53,25.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.10,08-12-2019,13:00:00,2.00,24.0,230,7.4,1005.95,0.70,26.50,89,911.71,22.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,4.30,08-12-2019,13:00:00,10.00,31.2,000,0.0,1005.75,0.00,34.24,75,990.00,26.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-12-2019,13:00:00,12.00,33.0,180,5.6,1005.44,0.00,31.28,62,1001.49,24.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.60,08-12-2019,13:00:00,7.00,31.0,150,5.6,1006.92,0.00,30.61,68,996.39,24.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,4.30,08-12-2019,13:00:00,12.00,31.5,180,9.3,1006.62,0.00,29.07,63,1004.72,23.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.01,08-12-2019,13:00:00,12.00,32.7,240,5.6,1005.48,0.00,29.21,59,985.03,23.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.10,08-12-2019,13:00:00,10.00,31.0,210,14.8,1005.74,0.00,30.61,68,988.33,24.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.50,08-12-2019,13:00:00,10.00,32.1,190,14.8,1005.17,0.00,30.86,65,989.31,24.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1.40,08-12-2019,13:00:00,10.00,32.7,230,9.3,1005.75,0.00,29.21,59,992.00,23.7
