WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,StationPressure,VaporPressure,WindSpeed,WindDirection,RelativeHumidity,Rainfall,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.9,08-04-2019,16:00:00,10.00,997.01,29.57,5.6,240,73,0.00,0.40,29.2,1003.88
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,22.6,08-04-2019,16:00:00,7.00,997.21,27.43,13.0,310,58,0.00,0.00,31.8,1002.70
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,23.4,08-04-2019,16:00:00,12.00,995.44,28.75,13.0,230,71,0.00,0.20,29.2,1004.66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.8,08-04-2019,16:00:00,14.00,1002.86,29.47,0.0,000,69,0.01,2.50,30.0,1004.11
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.8,08-04-2019,16:00:00,11.00,1002.60,27.80,5.6,250,67,0.00,2.50,29.7,1003.03
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.2,08-04-2019,16:00:00,7.00,991.98,30.15,0.0,000,82,0.10,3.20,27.5,1004.18
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.2,08-04-2019,16:00:00,10.00,1003.13,32.10,14.8,240,79,0.40,1.20,29.2,1003.83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.3,08-04-2019,16:00:00,10.00,1001.96,28.65,14.8,240,64,0.00,0.01,31.0,1004.35
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.0,08-04-2019,16:00:00,10.00,1003.85,29.85,14.8,310,74,0.00,0.01,29.2,1004.37
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,22.8,08-04-2019,16:00:00,10.00,998.70,27.74,7.4,310,61,0.00,0.01,31.1,1003.77
