WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,MeanSeaLevelPressure,Rainfall,WindSpeed,WindDirection,Rainfall24Hr,DewPoint,VaporPressure,LandVisibility,StationPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.8,07-19-2019,22:00:00,54,1004.37,0.00,0.0,000,0.00,22.1,26.61,10.00,983.95
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.4,07-19-2019,22:00:00,63,1003.66,0.00,9.3,180,0.00,23.6,29.15,11.00,986.31
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.7,07-19-2019,22:00:00,68,1003.70,0.00,5.6,170,0.00,25.0,31.77,10.00,987.84
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.8,07-19-2019,22:00:00,71,1004.89,0.00,9.3,180,0.00,23.9,29.63,10.00,991.02
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.8,07-19-2019,22:00:00,76,1005.61,0.00,0.0,000,0.00,24.0,29.90,10.00,990.89
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.2,07-19-2019,22:00:00,73,1005.12,0.00,0.0,000,0.00,24.8,31.27,6.00,990.63
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.7,07-19-2019,22:00:00,71,1004.53,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,22.8,27.81,10.00,1001.54
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.4,07-19-2019,22:00:00,63,1004.48,0.00,14.8,190,0.00,23.6,29.15,8.00,996.66
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.2,07-19-2019,22:00:00,84,1006.42,0.00,9.3,230,0.00,24.2,30.12,6.00,1005.31
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.5,07-19-2019,22:00:00,73,1005.42,0.00,0.0,000,0.00,23.1,28.24,8.00,990.83
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.0,07-19-2019,22:00:00,99,1007.22,67.80,5.6,200,74.60,19.8,23.13,.10,872.42
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.0,07-19-2019,22:00:00,75,1005.22,0.00,5.6,280,0.00,26.1,33.81,10.00,999.43
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.4,07-19-2019,22:00:00,98,1007.16,9.60,5.6,180,9.60,25.1,31.87,6.00,1006.35
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.4,07-19-2019,22:00:00,79,1006.44,0.00,14.8,230,0.00,25.3,32.22,10.00,1005.99
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.5,07-19-2019,22:00:00,88,1007.22,0.00,0.0,000,0.00,24.3,30.43,5.00,995.90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.9,07-19-2019,22:00:00,82,1006.77,0.00,5.6,180,0.00,23.5,29.02,10.00,1005.76
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.4,07-19-2019,22:00:00,81,1006.54,0.00,5.6,180,0.00,23.8,29.42,8.00,1004.72
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.8,07-19-2019,22:00:00,97,1006.14,1.20,0.0,000,50.10,25.4,32.37,5.00,1005.37
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.8,07-19-2019,22:00:00,85,1007.01,0.00,22.2,200,15.00,26.0,33.57,10.00,1006.31
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.2,07-19-2019,22:00:00,77,1006.65,0.00,0.0,000,0.00,24.8,31.25,7.00,1005.95
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.5,07-19-2019,22:00:00,72,1004.75,0.10,11.1,220,0.10,24.8,31.31,10.00,983.89
