WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,RelativeHumidity,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall24Hr,AirTemperature,LandVisibility,VaporPressure,WindDirection,WindSpeed
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.8,09-11-2019,07:00:00,96,0.00,1012.91,1001.42,23.3,5.90,24.0,4.00,28.53,000,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.0,09-11-2019,07:00:00,79,0.00,1005.55,1004.54,23.2,0.00,27.2,10.00,28.51,000,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.6,09-11-2019,07:00:00,84,0.00,1011.89,1010.05,23.1,0.01,26.0,7.00,28.18,160,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.0,09-11-2019,07:00:00,82,0.00,1012.30,1011.53,22.5,0.00,25.8,8.00,27.30,000,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.0,09-11-2019,07:00:00,87,0.00,1012.76,1012.05,24.4,0.01,26.7,9.00,30.53,090,3.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.2,09-11-2019,07:00:00,97,0.10,1012.54,1011.83,24.7,32.10,25.3,7.00,31.14,000,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.8,09-11-2019,07:00:00,90,0.00,1012.50,991.10,23.3,0.10,25.1,10.00,28.66,000,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.9,09-11-2019,07:00:00,96,0.00,1012.72,995.80,24.4,0.90,25.1,7.00,30.50,000,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.0,09-11-2019,07:00:00,95,0.20,1013.05,996.43,24.3,1.90,25.2,5.00,30.42,000,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.6,09-11-2019,07:00:00,88,0.01,1012.60,990.50,23.1,0.20,25.3,10.00,28.23,000,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.3,09-11-2019,07:00:00,87,0.00,1012.51,968.61,21.7,12.60,24.0,10.00,26.01,000,0.0
